university,sj,jh,major,description,start_date,end_date
DGIST,수시,일반전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,학교장추천전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,고른기회전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,특기자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,일반전형,전 학과,서류제출(학생),2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,학교장추천전형,전 학과,서류제출(학생),2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,고른기회전형,전 학과,서류제출(학생),2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,특기자전형,전 학과,서류제출(학생),2020-09-23T09:00:00,2020-09-28T18:00:00
DGIST,수시,일반전형,전 학과,자기소개서 제출,2020-09-23T09:00:00,2020-09-29T16:00:00
DGIST,수시,학교장추천전형,전 학과,자기소개서 제출,2020-09-23T09:00:00,2020-09-29T16:00:00
DGIST,수시,고른기회전형,전 학과,자기소개서 제출,2020-09-23T09:00:00,2020-09-29T16:00:00
DGIST,수시,특기자전형,전 학과,자기소개서 제출,2020-09-23T09:00:00,2020-09-29T16:00:00
DGIST,수시,일반전형,전 학과,면접대상자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
DGIST,수시,학교장추천전형,전 학과,면접대상자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
DGIST,수시,고른기회전형,전 학과,면접대상자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
DGIST,수시,특기자전형,전 학과,면접대상자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
DGIST,수시,일반전형,전 학과,면접평가,2020-11-16T00:00:00,2020-11-20T00:00:00
DGIST,수시,학교장추천전형,전 학과,면접평가,2020-11-16T00:00:00,2020-11-20T00:00:00
DGIST,수시,고른기회전형,전 학과,면접평가,2020-11-16T00:00:00,2020-11-20T00:00:00
DGIST,수시,특기자전형,전 학과,면접평가,2020-11-16T00:00:00,2020-11-20T00:00:00
DGIST,수시,일반전형,전 학과,합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
DGIST,수시,학교장추천전형,전 학과,합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
DGIST,수시,고른기회전형,전 학과,합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
DGIST,수시,특기자전형,전 학과,합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
DGIST,수시,일반전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
DGIST,수시,학교장추천전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
DGIST,수시,고른기회전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
DGIST,수시,특기자전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
DGIST,수시,일반전형,전 학과,충원합격 발표,2020-12-30T16:00:00,2021-01-04T18:00:00
DGIST,수시,학교장추천전형,전 학과,충원합격 발표,2020-12-30T16:00:00,2021-01-04T18:00:00
DGIST,수시,고른기회전형,전 학과,충원합격 발표,2020-12-30T16:00:00,2021-01-04T18:00:00
DGIST,수시,특기자전형,전 학과,충원합격 발표,2020-12-30T16:00:00,2021-01-04T18:00:00
DGIST,수시,일반전형,전 학과,충원합격 등록,2020-12-30T16:00:00,2021-01-05T16:00:00
DGIST,수시,학교장추천전형,전 학과,충원합격 등록,2020-12-30T16:00:00,2021-01-05T16:00:00
DGIST,수시,고른기회전형,전 학과,충원합격 등록,2020-12-30T16:00:00,2021-01-05T16:00:00
DGIST,수시,특기자전형,전 학과,충원합격 등록,2020-12-30T16:00:00,2021-01-05T16:00:00
DGIST,정시,수능우수자전형,전 학과,원서접수,2021-01-07T09:00:00,2021-01-11T18:00:00
DGIST,정시,수능우수자전형,전 학과,합격자 발표,2021-02-03T00:00:00,2021-02-03T00:00:00
DGIST,정시,수능우수자전형,전 학과,합격자 등록,2021-02-08T00:00:00,2021-02-10T16:00:00
DGIST,정시,수능우수자전형,전 학과,충원합격 발표,2021-02-10T16:00:00,2021-02-18T18:00:00
DGIST,정시,수능우수자전형,전 학과,충원합격 등록,2021-02-10T16:00:00,2021-02-19T16:00:00
