university,sj,jh,major,description,start_date,end_date
GIST,수시,일반전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,학교장추천전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,고른기회전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,특기자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,일반전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,학교장추천전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,고른기회전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,특기자전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
GIST,수시,일반전형,전 학과,서류전형 합격자 발표,2020-11-05T18:00:00,2020-11-05T18:00:00
GIST,수시,학교장추천전형,전 학과,서류전형 합격자 발표,2020-11-05T18:00:00,2020-11-05T18:00:00
GIST,수시,고른기회전형,전 학과,서류전형 합격자 발표,2020-11-05T18:00:00,2020-11-05T18:00:00
GIST,수시,특기자전형,전 학과,서류전형 합격자 발표,2020-11-05T18:00:00,2020-11-05T18:00:00
GIST,수시,일반전형,전 학과,면접전형,2020-11-12T00:00:00,2020-11-15T00:00:00
GIST,수시,학교장추천전형,전 학과,면접전형,2020-11-12T00:00:00,2020-11-15T00:00:00
GIST,수시,고른기회전형,전 학과,면접전형,2020-11-12T00:00:00,2020-11-15T00:00:00
GIST,수시,특기자전형,전 학과,면접전형,2020-11-12T00:00:00,2020-11-15T00:00:00
GIST,수시,일반전형,전 학과,최초 및 예비합격자 발표,2020-12-11T18:00:00,2020-12-11T18:00:00
GIST,수시,학교장추천전형,전 학과,최초 및 예비합격자 발표,2020-12-11T18:00:00,2020-12-11T18:00:00
GIST,수시,고른기회전형,전 학과,최초 및 예비합격자 발표,2020-12-11T18:00:00,2020-12-11T18:00:00
GIST,수시,특기자전형,전 학과,최초 및 예비합격자 발표,2020-12-11T18:00:00,2020-12-11T18:00:00
GIST,수시,일반전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
GIST,수시,학교장추천전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
GIST,수시,고른기회전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
GIST,수시,특기자전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
GIST,수시,일반전형,전 학과,추가합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
GIST,수시,학교장추천전형,전 학과,추가합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
GIST,수시,고른기회전형,전 학과,추가합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
GIST,수시,특기자전형,전 학과,추가합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
GIST,수시,일반전형,전 학과,추가합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
GIST,수시,학교장추천전형,전 학과,추가합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
GIST,수시,고른기회전형,전 학과,추가합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
GIST,수시,특기자전형,전 학과,추가합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
