university,sj,jh,major,description,start_date,end_date
KAIST,수시,일반전형,전 학과,원서접수,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,학교장추천전형,전 학과,원서접수,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,고른기회전형,전 학과,원서접수,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,특기자전형,전 학과,원서접수,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,일반전형,전 학과,서류제출,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,학교장추천전형,전 학과,서류제출,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,고른기회전형,전 학과,서류제출,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,특기자전형,전 학과,서류제출,2020-09-23T00:00:00,2020-09-28T00:00:00
KAIST,수시,일반전형,전 학과,교사추천서 입력,2020-09-23T00:00:00,2020-09-29T17:00:00
KAIST,수시,학교장추천전형,전 학과,교사추천서 입력,2020-09-23T00:00:00,2020-09-29T17:00:00
KAIST,수시,고른기회전형,전 학과,교사추천서 입력,2020-09-23T00:00:00,2020-09-29T17:00:00
KAIST,수시,특기자전형,전 학과,교사추천서 입력,2020-09-23T00:00:00,2020-09-29T17:00:00
KAIST,수시,일반전형,전 학과,1단계 합격자 발표,2020-11-25T10:00:00,2020-11-25T10:00:00
KAIST,수시,학교장추천전형,전 학과,1단계 합격자 발표,2020-11-25T10:00:00,2020-11-25T10:00:00
KAIST,수시,고른기회전형,전 학과,1단계 합격자 발표,2020-11-25T10:00:00,2020-11-25T10:00:00
KAIST,수시,특기자전형,전 학과,1단계 합격자 발표,2020-11-25T10:00:00,2020-11-25T10:00:00
KAIST,수시,일반전형,전 학과,면접평가,2020-12-09T00:00:00,2020-12-09T00:00:00
KAIST,수시,학교장추천전형,전 학과,면접평가,2020-12-10T00:00:00,2020-12-10T00:00:00
KAIST,수시,고른기회전형,전 학과,면접평가,2020-12-10T00:00:00,2020-12-10T00:00:00
KAIST,수시,특기자전형,전 학과,면접평가,2020-12-10T00:00:00,2020-12-10T00:00:00
KAIST,수시,일반전형,전 학과,최종합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
KAIST,수시,학교장추천전형,전 학과,최종합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
KAIST,수시,고른기회전형,전 학과,최종합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
KAIST,수시,특기자전형,전 학과,최종합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
KAIST,수시,일반전형,전 학과,등록기간,2020-12-26T00:00:00,2020-12-30T17:00:00
KAIST,수시,학교장추천전형,전 학과,등록기간,2020-12-26T00:00:00,2020-12-30T17:00:00
KAIST,수시,고른기회전형,전 학과,등록기간,2020-12-26T00:00:00,2020-12-30T17:00:00
KAIST,수시,특기자전형,전 학과,등록기간,2020-12-26T00:00:00,2020-12-30T17:00:00
KAIST,수시,일반전형,전 학과,최종합격자 추가서류 제출,2021-02-15T00:00:00,2021-02-19T00:00:00
KAIST,수시,학교장추천전형,전 학과,최종합격자 추가서류 제출,2021-02-15T00:00:00,2021-02-19T00:00:00
KAIST,수시,고른기회전형,전 학과,최종합격자 추가서류 제출,2021-02-15T00:00:00,2021-02-19T00:00:00
KAIST,수시,특기자전형,전 학과,최종합격자 추가서류 제출,2021-02-15T00:00:00,2021-02-19T00:00:00
KAIST,수시,수능우수자전형,전 학과,원서접수,2021-01-08T00:00:00,2021-01-11T17:00:00
KAIST,수시,수능우수자전형,전 학과,최종합격자 발표,2021-02-05T10:00:00,2021-02-05T10:00:00
KAIST,수시,수능우수자전형,전 학과,등록기간,2021-02-05T00:00:00,2021-02-10T17:00:00
KAIST,수시,수능우수자전형,전 학과,최종합격자 추가서류 제출,2021-02-15T00:00:00,2021-02-19T00:00:00
KAIST,수시,외국고전형,전 학과,원서접수,2020-12-16T00:00:00,2020-12-28T17:00:00
KAIST,수시,외국고전형,전 학과,교사추천서 입력,2020-12-16T00:00:00,2021-01-15T17:00:00
KAIST,수시,외국고전형,전 학과,최종합격자 발표,2021-03-26T10:00:00,2021-03-26T10:00:00
KAIST,수시,외국고전형,전 학과,최종합격자 추가서류 제출,2021-07-30T00:00:00,2021-07-30T00:00:00
