university,sj,jh,major,description,start_date,end_date
POSTECH,수시,일반전형,전 학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
POSTECH,수시,일반전형,전 학과,자기소개서/교사추천서 작성,2020-09-23T10:00:00,2020-09-29T18:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,자기소개서/교사추천서 작성,2020-09-23T10:00:00,2020-09-29T18:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,자기소개서/교사추천서 작성,2020-09-23T10:00:00,2020-09-29T18:00:00
POSTECH,수시,일반전형,전 학과,1단계 합격자 발표,2020-11-27T10:00:00,2020-11-27T10:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,1단계 합격자 발표,2020-11-27T10:00:00,2020-11-27T10:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,1단계 합격자 발표,2020-11-27T10:00:00,2020-11-27T10:00:00
POSTECH,수시,일반전형,전 학과,면접,2020-12-05T00:00:00,2020-12-05T00:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,면접,2020-12-05T00:00:00,2020-12-05T00:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,면접,2020-12-05T00:00:00,2020-12-05T00:00:00
POSTECH,수시,일반전형,전 학과,최초합격자 발표,2020-12-18T10:00:00,2020-12-18T10:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,최초합격자 발표,2020-12-18T10:00:00,2020-12-18T10:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,최초합격자 발표,2020-12-18T10:00:00,2020-12-18T10:00:00
POSTECH,수시,일반전형,전 학과,최초합격자 예비등록,2020-12-28T10:00:00,2020-12-30T16:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,최초합격자 예비등록,2020-12-28T10:00:00,2020-12-30T16:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,최초합격자 예비등록,2020-12-28T10:00:00,2020-12-30T16:00:00
POSTECH,수시,일반전형,전 학과,추가합격자 발표,2020-12-31T10:00:00,2021-01-04T21:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,추가합격자 발표,2020-12-31T10:00:00,2021-01-04T21:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,추가합격자 발표,2020-12-31T10:00:00,2021-01-04T21:00:00
POSTECH,수시,일반전형,전 학과,추가합격자 예비등록,2020-12-31T10:00:00,2021-01-05T16:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,추가합격자 예비등록,2020-12-31T10:00:00,2021-01-05T16:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,추가합격자 예비등록,2020-12-31T10:00:00,2021-01-05T16:00:00
POSTECH,수시,일반전형,전 학과,최종 등록,2021-01-25T10:00:00,2021-01-27T16:00:00
POSTECH,수시,고른기회저소득층전형,전 학과,최종 등록,2021-01-25T10:00:00,2021-01-27T16:00:00
POSTECH,수시,고른기회농어촌전형,전 학과,최종 등록,2021-01-25T10:00:00,2021-01-27T16:00:00
