univ,sj,jh,major,description,start_date,end_date
UNIST,수시,일반전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T18:00:00
UNIST,수시,일반전형,전 학과,자기소개서 및 서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
UNIST,수시,일반전형,전 학과,1단계 합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
UNIST,수시,일반전형,전 학과,면접,2020-11-20T00:00:00,2020-11-21T00:00:00
UNIST,수시,일반전형,전 학과,최종 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
UNIST,수시,일반전형,전 학과,최종 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
UNIST,수시,일반전형,전 학과,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
UNIST,수시,일반전형,전 학과,충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
UNIST,수시,지역인재전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T18:00:00
UNIST,수시,지역인재전형,전 학과,자기소개서 및 서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
UNIST,수시,지역인재전형,전 학과,1단계 합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
UNIST,수시,지역인재전형,전 학과,면접,2020-11-20T00:00:00,2020-11-21T00:00:00
UNIST,수시,지역인재전형,전 학과,최종 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
UNIST,수시,지역인재전형,전 학과,최종 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
UNIST,수시,지역인재전형,전 학과,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
UNIST,수시,지역인재전형,전 학과,충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
UNIST,수시,특기자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T18:00:00
UNIST,수시,특기자전형,전 학과,자기소개서 및 서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
UNIST,수시,특기자전형,전 학과,1단계 합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
UNIST,수시,특기자전형,전 학과,면접,2020-11-20T00:00:00,2020-11-21T00:00:00
UNIST,수시,특기자전형,전 학과,최종 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
UNIST,수시,특기자전형,전 학과,최종 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
UNIST,수시,특기자전형,전 학과,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
UNIST,수시,특기자전형,전 학과,충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
UNIST,수시,기회균등전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T18:00:00
UNIST,수시,기회균등전형,전 학과,자기소개서 및 서류제출,2020-09-23T09:00:00,2020-09-28T18:00:00
UNIST,수시,기회균등전형,전 학과,1단계 합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
UNIST,수시,기회균등전형,전 학과,면접,2020-11-20T00:00:00,2020-11-21T00:00:00
UNIST,수시,기회균등전형,전 학과,최종 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
UNIST,수시,기회균등전형,전 학과,최종 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
UNIST,수시,기회균등전형,전 학과,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
UNIST,수시,기회균등전형,전 학과,충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
