name,logo,review_url,bigo,damdang,done
서울대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/seoul.png,https://www.univ100.kr/review/55,전 학과,김혜인,1
서울시립대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/seoul_sirib.png,https://www.univ100.kr/review/29,전 학과,김다희,1
부산대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/busan.png,https://www.univ100.kr/review/157,전 학과,김혜인,1
경북대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gyeongbook.png,https://www.univ100.kr/review/405,전 학과,김다희,1
전남대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/jeonnam.png,https://www.univ100.kr/review/407,전 학과,김다희,1
충남대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/chungnam.png,https://www.univ100.kr/review/202,전 학과,최성우,1
한국체육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/hankook_sport.png,https://www.univ100.kr/review/61,전 학과,김다희,1
연세대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/yonsei.png,https://www.univ100.kr/review/1,전 학과,김혜인,1
고려대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/korea.png,https://www.univ100.kr/review/38,전 학과,김다희,1
서강대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/seogang.png,https://www.univ100.kr/review/36,전 학과,최성우,1
성균관대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/sungkyunkwan.png,https://www.univ100.kr/review/13,전 학과,김혜인,1
한양대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/hanyang.png,https://www.univ100.kr/review/6,전 학과,최성우,1
중앙대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/chungang.png,https://www.univ100.kr/review/2,전 학과,김다희,1
경희대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gyunghee.png,https://www.univ100.kr/review/8,전 학과,김혜인,1
한국외국어대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/hankook_foreign.png,https://www.univ100.kr/review/32,전 학과,최성우,1
이화여자대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/ewha.png,https://www.univ100.kr/review/10,전 학과,김다희,1
건국대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/kunkook.png,https://www.univ100.kr/review/30,전 학과,최성우,1
동국대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/dongguk.png,https://www.univ100.kr/review/58,전 학과,최성우,1
홍익대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/hongik.png,https://www.univ100.kr/review/19,전 학과,김다희,1
숙명여자대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/sookmyung.png,https://www.univ100.kr/review/21,전 학과,김다희,
국민대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/kookmin.png,https://www.univ100.kr/review/62,전 학과,최성우,1
숭실대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/soongsil.png,https://www.univ100.kr/review/37,전 학과,김혜인,1
세종대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/sejong.png,https://www.univ100.kr/review/60,전 학과,김다희,
단국대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/dankook.png,https://www.univ100.kr/review/65,전 학과,김혜인,1
아주대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/ajou.png,https://www.univ100.kr/review/71,전 학과,최성우,1
인하대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/inha.png,https://www.univ100.kr/review/175,전 학과,김혜인,1
성신여자대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/sungshin.png,https://www.univ100.kr/review/24,전 학과,최성우,1
한국교원대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/kyowon.png,https://www.univ100.kr/review/203,전 학과,최성우,1
KAIST,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/kaist.png,https://www.univ100.kr/review/170,단일 학과,최성우,1
POSTECH,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/postech.png,https://www.univ100.kr/review/164,단일 학과,최성우,1
UNIST,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/unist.png,https://www.univ100.kr/review/337,단일 학과,김혜인,1
GIST,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gist.png,https://www.univ100.kr/review/126,단일 학과,최성우,1
DGIST,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/dgist.png,https://www.univ100.kr/review/166,단일 학과,김다희,
서울교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/seoul_edu.png,https://www.univ100.kr/review/212,단일 학과,최성우,1
경인교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/kyungin_edu.png,https://www.univ100.kr/review/171,단일 학과,김혜인,1
공주교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gongju_edu.png,https://www.univ100.kr/review/104,단일 학과,김혜인,1
부산교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/busan_edu.png,https://www.univ100.kr/review/209,단일 학과,김다희,
전주교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/jeonju_edu.png,https://www.univ100.kr/review/358,단일 학과,김다희,
진주교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/jinju_edu.png,https://www.univ100.kr/review/162,단일 학과,최성우,1
춘천교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/chuncheon_edu.png,https://www.univ100.kr/review/94,단일 학과,김혜인,1
광주교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gwangju_edu.png,https://www.univ100.kr/review/357,단일 학과,김다희,
대구교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/daegu_edu.png,https://www.univ100.kr/review/367,단일 학과,김혜인,1
청주교육대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/cheongju_edu.png,https://www.univ100.kr/review/120,단일 학과,최성우,1
육군사관학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/yooksa.png,,단일 학과,김다희,
공군사관학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gongsa.png,,단일 학과,최성우,1
해군사관학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/haesa.png,,단일 학과,최성우,1
전북대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/jeonbook.png,https://www.univ100.kr/review/143,"의과대학, 치과대학, 수의과대학",김혜인,1
강원대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gangwon.png,https://www.univ100.kr/review/401,"의과대학, 치과대학, 수의과대학",김다희,
충북대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/chungbook.png,https://www.univ100.kr/review/122,"의과대학, 수의과대학",김다희,
조선대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/chosun.png,https://www.univ100.kr/review/198,"의과대학, 치과대학",김혜인,1
경상대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/gyeongsang.png,https://www.univ100.kr/review/149,"의과대학, 수의과대학",김혜인,1
원광대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/wongwang.png,https://www.univ100.kr/review/142,"의과대학, 치과대학",최성우,1
제주대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/jeju.png,https://www.univ100.kr/review/144,"의과대학, 수의과대학",최성우,1
울산대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/ulsan.png,https://www.univ100.kr/review/189,의과대학,최성우,
가톨릭대학교,http://ec2-54-180-101-171.ap-northeast-2.compute.amazonaws.com/media/catholic.png,https://www.univ100.kr/review/52,의과대학,김다희,
