university,sj,jh,major,description,start_date,end_date
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
가톨릭관동대학교,수시,CKU교과전형,"의학과,간호학과",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
가톨릭관동대학교,수시,지역인재교과전형,"의학과,간호학과",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
가톨릭관동대학교,수시,고른기회전형,"의학과,간호학과",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
가톨릭관동대학교,수시,농어촌학생전형,"의학과,간호학과",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
가톨릭관동대학교,수시,기초생활및차상위전형,"의학과,간호학과",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
가톨릭관동대학교,수시,CKU교과전형,"의학과,간호학과",서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
가톨릭관동대학교,수시,지역인재교과전형,"의학과,간호학과",서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
가톨릭관동대학교,수시,고른기회전형,"의학과,간호학과",서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
가톨릭관동대학교,수시,농어촌학생전형,"의학과,간호학과",서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
가톨릭관동대학교,수시,기초생활및차상위전형,"의학과,간호학과",서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",1단계 합격자 발표,2020-10-29T15:00:00,2020-10-29T15:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",면접고사,2020-11-07T00:00:00,2020-11-08T00:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",면접 순위 발표,2020-11-19T15:00:00,2020-11-19T15:00:00
가톨릭관동대학교,수시,CKU교과전형,"의학과,간호학과",최초 합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
가톨릭관동대학교,수시,지역인재교과전형,"의학과,간호학과",최초 합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
가톨릭관동대학교,수시,고른기회전형,"의학과,간호학과",최초 합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
가톨릭관동대학교,수시,농어촌학생전형,"의학과,간호학과",최초 합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
가톨릭관동대학교,수시,기초생활및차상위전형,"의학과,간호학과",최초 합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",최초 합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
가톨릭관동대학교,수시,CKU교과전형,"의학과,간호학과",최초 합격자 등록예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
가톨릭관동대학교,수시,지역인재교과전형,"의학과,간호학과",최초 합격자 등록예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
가톨릭관동대학교,수시,고른기회전형,"의학과,간호학과",최초 합격자 등록예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
가톨릭관동대학교,수시,농어촌학생전형,"의학과,간호학과",최초 합격자 등록예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
가톨릭관동대학교,수시,기초생활및차상위전형,"의학과,간호학과",최초 합격자 등록예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",최초 합격자 등록예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
가톨릭관동대학교,수시,CKU교과전형,"의학과,간호학과",추가 합격자 통보,2020-12-30T00:00:00,2021-01-04T21:00:00
가톨릭관동대학교,수시,지역인재교과전형,"의학과,간호학과",추가 합격자 통보,2020-12-30T00:00:00,2021-01-04T21:00:00
가톨릭관동대학교,수시,고른기회전형,"의학과,간호학과",추가 합격자 통보,2020-12-30T00:00:00,2021-01-04T21:00:00
가톨릭관동대학교,수시,농어촌학생전형,"의학과,간호학과",추가 합격자 통보,2020-12-30T00:00:00,2021-01-04T21:00:00
가톨릭관동대학교,수시,기초생활및차상위전형,"의학과,간호학과",추가 합격자 통보,2020-12-30T00:00:00,2021-01-04T21:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",추가 합격자 통보,2020-12-30T00:00:00,2021-01-04T21:00:00
가톨릭관동대학교,수시,CKU교과전형,"의학과,간호학과",추가 합격자 등록예치금 납부,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭관동대학교,수시,지역인재교과전형,"의학과,간호학과",추가 합격자 등록예치금 납부,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭관동대학교,수시,고른기회전형,"의학과,간호학과",추가 합격자 등록예치금 납부,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭관동대학교,수시,농어촌학생전형,"의학과,간호학과",추가 합격자 등록예치금 납부,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭관동대학교,수시,기초생활및차상위전형,"의학과,간호학과",추가 합격자 등록예치금 납부,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",추가 합격자 등록예치금 납부,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭관동대학교,수시,CKU교과전형,"의학과,간호학과",등록금 잔액 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
가톨릭관동대학교,수시,지역인재교과전형,"의학과,간호학과",등록금 잔액 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
가톨릭관동대학교,수시,고른기회전형,"의학과,간호학과",등록금 잔액 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
가톨릭관동대학교,수시,농어촌학생전형,"의학과,간호학과",등록금 잔액 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
가톨릭관동대학교,수시,기초생활및차상위전형,"의학과,간호학과",등록금 잔액 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
가톨릭관동대학교,수시,CKU종합1전형,"의학과,간호학과",등록금 잔액 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
