university,sj,jh,major,description,start_date,end_date
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,원서 접수,2020-09-23T10:00:00,2020-09-28T17:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,자기소개서 마감,2020-09-29T17:00:00,2020-09-29T17:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,서류제출(등기우편 마감),2020-09-29T00:00:00,2020-09-29T00:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,서류제출(방문제출 기한/공휴일 제외),2020-09-23T00:00:00,2020-09-29T17:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,고사장 및 고사시간 공지(본교 입학 홈페이지 기재),2020-12-16T00:00:00,2020-12-16T00:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,면접평가,2020-12-19T08:00:00,2020-12-19T08:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,1단계 합격자 발표,2020-12-11T16:00:00,2020-12-11T16:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,최초합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,1차 충원 합격자 발표,2020-12-30T20:00:00,2020-12-30T20:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,1차 충원 합격자 등록,2020-12-31T16:00:00,2020-12-31T16:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,2차 이후 충원합격자 발표 및 등록,2020-12-31T00:00:00,2021-01-04T00:00:00
가톨릭대학교,수시,가톨릭지도자추천전형,의예과,충원합격자 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭대학교,수시,학교장추천전형,의예과,원서 접수,2020-09-23T10:00:00,2020-09-28T17:00:00
가톨릭대학교,수시,학교장추천전형,의예과,자기소개서 마감,2020-09-29T17:00:00,2020-09-29T17:00:00
가톨릭대학교,수시,학교장추천전형,의예과,서류제출(등기우편 마감),2020-09-29T00:00:00,2020-09-29T00:00:00
가톨릭대학교,수시,학교장추천전형,의예과,서류제출(방문제출 기한/공휴일 제외),2020-09-23T00:00:00,2020-09-29T17:00:00
가톨릭대학교,수시,학교장추천전형,의예과,고사장 및 고사시간 공지(본교 입학 홈페이지 기재),2020-12-16T00:00:00,2020-12-16T00:00:00
가톨릭대학교,수시,학교장추천전형,의예과,면접평가,2020-12-19T08:00:00,2020-12-19T08:00:00
가톨릭대학교,수시,학교장추천전형,의예과,1단계 합격자 발표,2020-12-11T16:00:00,2020-12-11T16:00:00
가톨릭대학교,수시,학교장추천전형,의예과,최초합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
가톨릭대학교,수시,학교장추천전형,의예과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
가톨릭대학교,수시,학교장추천전형,의예과,1차 충원 합격자 발표,2020-12-30T20:00:00,2020-12-30T20:00:00
가톨릭대학교,수시,학교장추천전형,의예과,1차 충원 합격자 등록,2020-12-31T16:00:00,2020-12-31T16:00:00
가톨릭대학교,수시,학교장추천전형,의예과,2차 이후 충원합격자 발표 및 등록,2020-12-31T00:00:00,2021-01-04T00:00:00
가톨릭대학교,수시,학교장추천전형,의예과,충원합격자 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
가톨릭대학교,수시,논술,의예과,원서 접수,2020-09-23T10:00:00,2020-09-28T17:00:00
가톨릭대학교,수시,논술,의예과,서류제출(등기우편 마감),2020-09-29T00:00:00,2020-09-29T00:00:00
가톨릭대학교,수시,논술,의예과,서류제출(방문제출 기한/공휴일 제외),2020-09-23T00:00:00,2020-09-29T17:00:00
가톨릭대학교,수시,논술,의예과,고사장 및 고사시간 공지(본교 입학 홈페이지 기재),2020-12-16T00:00:00,2020-12-16T00:00:00
가톨릭대학교,수시,논술,의예과,논술고사,2020-12-05T00:00:00,2020-12-05T12:00:00
가톨릭대학교,수시,논술,의예과,최초합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
가톨릭대학교,수시,논술,의예과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
가톨릭대학교,수시,논술,의예과,1차 충원 합격자 발표,2020-12-30T20:00:00,2020-12-30T20:00:00
가톨릭대학교,수시,논술,의예과,1차 충원 합격자 등록,2020-12-31T16:00:00,2020-12-31T16:00:00
가톨릭대학교,수시,논술,의예과,2차 이후 충원합격자 발표 및 등록,2020-12-31T00:00:00,2021-01-04T00:00:00
가톨릭대학교,수시,논술,의예과,충원합격자 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
