university,sj,jh,major,description,start_date,end_date
강원대학교,수시,학생부종합,의예과,입학원서 접수,2020-09-23T00:00:00,2020-09-28T18:00:00
강원대학교,수시,학생부종합,의예과,자기소개서 입력 및 수정,2020-09-23T00:00:00,2020-09-29T18:00:00
강원대학교,수시,학생부종합,의예과,서류제출 마감,2020-09-29T18:00:00,2020-09-29T18:00:00
강원대학교,수시,학생부종합,의예과,제출 서류 도착 확인,2020-10-07T00:00:00,2020-10-07T00:00:00
강원대학교,수시,학생부종합,의예과,1단계 합격자 발표,2020-11-30T15:00:00,2020-11-30T15:00:00
강원대학교,수시,학생부종합,의예과,면접평가,2020-12-11T00:00:00,2020-12-12T00:00:00
강원대학교,수시,학생부종합,의예과,최종합격자 발표,2020-12-27T15:00:00,2020-12-27T15:00:00
강원대학교,수시,학생부종합,의예과,최종합격자 고지서 출력 기간,2020-12-27T00:00:00,2020-12-30T00:00:00
강원대학교,수시,학생부종합,의예과,최종합격자 등록확인예치금 납부 기간,2020-12-28T00:00:00,2020-12-30T16:00:00
강원대학교,수시,학생부종합,의예과,미등록 충원 합격자 발표,2020-12-31T00:00:00,2021-01-01T21:00:00
강원대학교,수시,학생부종합,의예과,미등록 충원 합격자 등록확인예치금 납부 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
강원대학교,수시,학생부종합,의예과,합격자 최종 등록금 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
강원대학교,수시,학생부교과(일반),의예과,입학원서 접수,2020-09-23T00:00:00,2020-09-28T18:00:00
강원대학교,수시,학생부교과(일반),의예과,서류제출 마감,2020-09-29T18:00:00,2020-09-29T18:00:00
강원대학교,수시,학생부교과(일반),의예과,제출 서류 도착 확인,2020-10-07T00:00:00,2020-10-07T00:00:00
강원대학교,수시,학생부교과(일반),의예과,최종합격자 발표,2020-12-27T15:00:00,2020-12-27T15:00:00
강원대학교,수시,학생부교과(일반),의예과,최종합격자 고지서 출력 기간,2020-12-27T00:00:00,2020-12-30T00:00:00
강원대학교,수시,학생부교과(일반),의예과,최종합격자 등록확인예치금 납부 기간,2020-12-28T00:00:00,2020-12-30T16:00:00
강원대학교,수시,학생부교과(일반),의예과,미등록 충원 합격자 발표,2020-12-31T00:00:00,2021-01-01T21:00:00
강원대학교,수시,학생부교과(일반),의예과,미등록 충원 합격자 등록확인예치금 납부 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
강원대학교,수시,학생부교과(일반),의예과,합격자 최종 등록금 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
강원대학교,수시,학생부교과(지역인재),의예과,입학원서 접수,2020-09-23T00:00:00,2020-09-28T18:00:00
강원대학교,수시,학생부교과(지역인재),의예과,서류제출 마감,2020-09-29T18:00:00,2020-09-29T18:00:00
강원대학교,수시,학생부교과(지역인재),의예과,제출 서류 도착 확인,2020-10-07T00:00:00,2020-10-07T00:00:00
강원대학교,수시,학생부교과(지역인재),의예과,최종합격자 발표,2020-12-27T15:00:00,2020-12-27T15:00:00
강원대학교,수시,학생부교과(지역인재),의예과,최종합격자 고지서 출력 기간,2020-12-27T00:00:00,2020-12-30T00:00:00
강원대학교,수시,학생부교과(지역인재),의예과,최종합격자 등록확인예치금 납부 기간,2020-12-28T00:00:00,2020-12-30T16:00:00
강원대학교,수시,학생부교과(지역인재),의예과,미등록 충원 합격자 발표,2020-12-31T00:00:00,2021-01-01T21:00:00
강원대학교,수시,학생부교과(지역인재),의예과,미등록 충원 합격자 등록확인예치금 납부 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
강원대학교,수시,학생부교과(지역인재),의예과,합격자 최종 등록금 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
강원대학교,수시,학생부교과(일반),수의예과,입학원서 접수,2020-09-23T00:00:00,2020-09-28T18:00:00
강원대학교,수시,학생부교과(일반),수의예과,서류제출 마감,2020-09-29T18:00:00,2020-09-29T18:00:00
강원대학교,수시,학생부교과(일반),수의예과,제출 서류 도착 확인,2020-10-07T00:00:00,2020-10-07T00:00:00
강원대학교,수시,학생부교과(일반),수의예과,최종합격자 발표,2020-12-27T15:00:00,2020-12-27T15:00:00
강원대학교,수시,학생부교과(일반),수의예과,최종합격자 고지서 출력 기간,2020-12-27T00:00:00,2020-12-30T00:00:00
강원대학교,수시,학생부교과(일반),수의예과,최종합격자 등록확인예치금 납부 기간,2020-12-28T00:00:00,2020-12-30T16:00:00
강원대학교,수시,학생부교과(일반),수의예과,미등록 충원 합격자 발표,2020-12-31T00:00:00,2021-01-01T21:00:00
강원대학교,수시,학생부교과(일반),수의예과,미등록 충원 합격자 등록확인예치금 납부 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
강원대학교,수시,학생부교과(일반),수의예과,합격자 최종 등록금 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,입학원서 접수,2020-09-23T00:00:00,2020-09-28T18:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,서류제출 마감,2020-09-29T18:00:00,2020-09-29T18:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,제출 서류 도착 확인,2020-10-07T00:00:00,2020-10-07T00:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,최종합격자 발표,2020-12-27T15:00:00,2020-12-27T15:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,최종합격자 고지서 출력 기간,2020-12-27T00:00:00,2020-12-30T00:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,최종합격자 등록확인예치금 납부 기간,2020-12-28T00:00:00,2020-12-30T16:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,미등록 충원 합격자 발표,2020-12-31T00:00:00,2021-01-01T21:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,미등록 충원 합격자 등록확인예치금 납부 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
강원대학교,수시,학생부교과(지역인재),수의예과,합격자 최종 등록금 납부,2021-02-08T00:00:00,2021-02-10T16:00:00
