univ,sj,jh,major,description,start_date,end_date
건양대학교,수시,학생부교과(최저O),의과대학,원서접수,2020-09-23T00:00:00,2020-09-28T19:00:00
건양대학교,수시,학생부교과(최저O),의과대학,서류제출,2020-09-23T00:00:00,2020-10-08T18:00:00
건양대학교,수시,학생부교과(최저O),의과대학,1단계 합격자 발표,2020-12-24T16:00:00,2020-12-24T16:00:00
건양대학교,수시,학생부교과(최저O),의과대학,면접,2020-12-25T00:00:00,2020-12-25T00:00:00
건양대학교,수시,학생부교과(최저O),의과대학,최초 합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
건양대학교,수시,학생부교과(최저O),의과대학,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
건양대학교,수시,학생부교과(최저O),의과대학,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
건양대학교,수시,학생부교과(최저O),의과대학,충원 합격자 등록,2020-12-31T00:00:00,2021-01-05T16:00:00
건양대학교,수시,학생부교과(최저X),의과대학,원서접수,2020-09-23T00:00:00,2020-09-28T19:00:00
건양대학교,수시,학생부교과(최저X),의과대학,서류제출,2020-09-23T00:00:00,2020-10-08T18:00:00
건양대학교,수시,학생부교과(최저X),의과대학,1단계 합격자 발표,2020-10-30T16:00:00,2020-10-30T16:00:00
건양대학교,수시,학생부교과(최저X),의과대학,면접,2020-11-07T00:00:00,2020-11-07T00:00:00
건양대학교,수시,학생부교과(최저X),의과대학,최초 합격자 발표,2020-11-25T16:00:00,2020-11-25T16:00:00
건양대학교,수시,학생부교과(최저X),의과대학,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
건양대학교,수시,학생부교과(최저X),의과대학,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
건양대학교,수시,학생부교과(최저X),의과대학,충원 합격자 등록,2020-12-31T00:00:00,2021-01-05T16:00:00
