university,sj,jh,major,description,start_date,end_date
경북대학교,수시,학생부교과(일반학생전형),전 학과,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,학생부교과(지역인재전형),전 학과,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,학생부종합,일반학과,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,학생부종합,예능계열,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,실기/실적(예능)전형,음악학과,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,실기/실적(예능)전형,국악학과,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,실기/실적(예능)전형,미술/디자인/섬유패션디자인학부,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,특기자(체육)전형,체육교육과,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,장애인등대상자전형,일반학과,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,장애인등대상자전형,예능계열,원서접수,2020-09-25T09:00:00,2020-09-28T18:00:00
경북대학교,수시,학생부종합,일반학과,자기소개서 입력 및 수정,2020-09-25T09:00:00,2020-09-29T18:00:00
경북대학교,수시,학생부종합,예능계열,자기소개서 입력 및 수정,2020-09-25T09:00:00,2020-09-29T18:00:00
경북대학교,수시,장애인등대상자전형,일반학과,자기소개서 입력 및 수정,2020-09-25T09:00:00,2020-09-29T18:00:00
경북대학교,수시,장애인등대상자전형,예능계열,자기소개서 입력 및 수정,2020-09-25T09:00:00,2020-09-29T18:00:00
경북대학교,수시,학생부교과(일반학생전형),전 학과,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,학생부교과(지역인재전형),전 학과,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,학생부종합,일반학과,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,학생부종합,예능계열,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,실기/실적(예능)전형,음악학과,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,실기/실적(예능)전형,국악학과,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,실기/실적(예능)전형,미술/디자인/섬유패션디자인학부,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,특기자(체육)전형,체육교육과,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,장애인등대상자전형,일반학과,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,장애인등대상자전형,예능계열,서류제출,2020-09-25T09:00:00,2020-10-06T18:00:00
경북대학교,수시,학생부교과(일반학생전형),전 학과,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,학생부교과(지역인재전형),전 학과,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,학생부종합,일반학과,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,학생부종합,예능계열,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,실기/실적(예능)전형,음악학과,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,실기/실적(예능)전형,국악학과,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,실기/실적(예능)전형,미술/디자인/섬유패션디자인학부,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,특기자(체육)전형,체육교육과,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,장애인등대상자전형,일반학과,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,장애인등대상자전형,예능계열,서류 미제출자 공고,2020-10-12T00:00:00,2020-10-12T00:00:00
경북대학교,수시,실기/실적(예능)전형,음악학과,1단계 합격자 발표,2020-10-23T17:00:00,2020-10-23T17:00:00
경북대학교,수시,실기/실적(예능)전형,국악학과,1단계 합격자 발표,2020-10-23T17:00:00,2020-10-23T17:00:00
경북대학교,수시,실기/실적(예능)전형,미술/디자인/섬유패션디자인학부,1단계 합격자 발표,2020-10-23T17:00:00,2020-10-23T17:00:00
경북대학교,수시,특기자(체육)전형,체육교육과,1단계 합격자 발표,2020-10-23T17:00:00,2020-10-23T17:00:00
경북대학교,수시,장애인등대상자전형,예능계열,1단계 합격자 발표,2020-10-23T17:00:00,2020-10-23T17:00:00
경북대학교,수시,학생부교과(지역인재전형),전 학과,1단계 합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
경북대학교,수시,학생부종합,일반학과,1단계 합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
경북대학교,수시,학생부교과(지역인재전형),전 학과,학생부교과 자기소개서 입력 및 수정,2020-12-04T09:00:00,2020-12-06T18:00:00
경북대학교,수시,실기/실적(예능)전형,음악학과,고사장 안내 및 수험표 출력,2020-10-27T10:00:00,2020-10-27T10:00:00
