univ,sj,jh,major,description,start_date,end_date
경상대학교,수시,학생부교과,"의과대학, 수의과대학",원서접수,2020-09-23T00:00:00,2020-09-28T19:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",서류제출,2020-09-23T00:00:00,2020-10-06T19:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",1차 충원 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",1차 충원 합격자 등록,2021-01-01T16:00:00,2021-01-01T16:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",2차 충원 합격자 발표,2021-01-02T10:00:00,2021-01-02T10:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",2차 충원 합격자 등록,2021-01-03T16:00:00,2021-01-03T16:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",3차 충원 합격자 발표,2021-01-04T10:00:00,2021-01-04T21:00:00
경상대학교,수시,학생부교과,"의과대학, 수의과대학",3차 충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",원서접수,2020-09-23T00:00:00,2020-09-28T19:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",자기소개서 작성 및 서류제출,2020-09-23T00:00:00,2020-10-06T19:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",1단계 합격자 발표,2020-12-04T16:00:00,2020-12-04T16:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",면접,2020-12-11T00:00:00,2020-12-11T00:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",1차 충원 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",1차 충원 합격자 등록,2021-01-01T16:00:00,2021-01-01T16:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",2차 충원 합격자 발표,2021-01-02T10:00:00,2021-01-02T10:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",2차 충원 합격자 등록,2021-01-03T16:00:00,2021-01-03T16:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",3차 충원 합격자 발표,2021-01-04T10:00:00,2021-01-04T21:00:00
경상대학교,수시,학생부종합,"의과대학, 수의과대학",3차 충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
