univ,sj,jh,major,description,start_date,end_date
경인교육대학교,수시,교직적성전형,전 학과,원서접수 및 자기소개서 입력,2020-09-23T09:00:00,2020-09-25T17:00:00
경인교육대학교,수시,교직적성전형,전 학과,서류제출,2020-09-23T00:00:00,2020-09-28T00:00:00
경인교육대학교,수시,교직적성전형,전 학과,1단계 합격자 발표,2020-11-16T14:00:00,2020-11-16T14:00:00
경인교육대학교,수시,교직적성전형,전 학과,면접,2020-12-04T00:00:00,2020-12-04T00:00:00
경인교육대학교,수시,교직적성전형,전 학과,최초 합격자 발표,2020-12-24T14:00:00,2020-12-24T14:00:00
경인교육대학교,수시,교직적성전형,전 학과,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
경인교육대학교,수시,교직적성전형,전 학과,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
경인교육대학교,수시,교직적성전형,전 학과,충원 합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
경인교육대학교,수시,고른기회,전 학과,원서접수 및 자기소개서 입력,2020-09-23T09:00:00,2020-09-25T17:00:00
경인교육대학교,수시,고른기회,전 학과,서류제출,2020-09-23T00:00:00,2020-09-28T00:00:00
경인교육대학교,수시,고른기회,전 학과,1단계 합격자 발표,2020-11-16T14:00:00,2020-11-16T14:00:00
경인교육대학교,수시,고른기회,전 학과,면접,2020-12-04T00:00:00,2020-12-12T00:00:00
경인교육대학교,수시,고른기회,전 학과,최초 합격자 발표,2020-12-24T14:00:00,2020-12-24T14:00:00
경인교육대학교,수시,고른기회,전 학과,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
경인교육대학교,수시,고른기회,전 학과,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
경인교육대학교,수시,고른기회,전 학과,충원 합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
