univ,sj,jh,major,description,start_date,end_date
경희대학교,수시,학생부종합 (네오르네상스전형),"인문계, 예체능",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),"인문계, 예체능",자기소개서 입력,2020-09-24T10:00:00,2020-10-05T17:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),"인문계, 예체능",1단계 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),"인문계, 예체능",2단계 고사,2020-12-19T09:00:00,2020-12-19T18:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),"인문계, 예체능",최종 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),자연계,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),자연계,자기소개서 입력,2020-09-24T10:00:00,2020-10-05T17:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),자연계,1단계 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),자연계,2단계 고사,2020-12-20T09:00:00,2020-12-20T18:00:00
경희대학교,수시,학생부종합 (네오르네상스전형),자연계,최종 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
경희대학교,수시,학생부종합 (고교연계전형),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,학생부종합 (고교연계전형),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-10-05T17:00:00
경희대학교,수시,학생부종합 (고교연계전형),전 학과,최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,학생부종합 (고른기회전형),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,학생부종합 (고른기회전형),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-10-05T17:00:00
경희대학교,수시,학생부종합 (고른기회전형),전 학과,최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,학생부종합 (특성화고졸재직자전형),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,학생부종합 (특성화고졸재직자전형),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-10-05T17:00:00
경희대학교,수시,학생부종합 (특성화고졸재직자전형),전 학과,1단계 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,학생부종합 (특성화고졸재직자전형),전 학과,2단계 고사,2020-12-20T09:00:00,2020-12-20T18:00:00
경희대학교,수시,학생부종합 (특성화고졸재직자전형),전 학과,최종 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
경희대학교,수시,논술우수자전형,"인문계, 예체능, 의학계, 자연계(공과대학)",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,논술우수자전형,"인문계, 예체능, 의학계, 자연계(공과대학)",논술시험,2020-12-05T09:00:00,2020-12-05T17:00:00
경희대학교,수시,논술우수자전형,"인문계, 예체능, 의학계, 자연계(공과대학)",최종 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
경희대학교,수시,논술우수자전형,"사회계, 자연계(공과대학 외)",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,논술우수자전형,"사회계, 자연계(공과대학 외)",논술시험,2020-12-06T09:00:00,2020-12-06T17:00:00
경희대학교,수시,논술우수자전형,"사회계, 자연계(공과대학 외)",최종 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
경희대학교,수시,실기우수자전형,"한국무용, 현대무용, 발레",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,"한국무용, 현대무용, 발레",실기고사,2020-10-09T00:00:00,2020-10-10T00:00:00
경희대학교,수시,실기우수자전형,"한국무용, 현대무용, 발레",최종 합격자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
경희대학교,수시,실기우수자전형,"디자인, 도예",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,"디자인, 도예",실기고사,2020-10-09T00:00:00,2020-10-09T00:00:00
경희대학교,수시,실기우수자전형,"디자인, 도예",최종 합격자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
경희대학교,수시,실기우수자전형,PostModern음악,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,PostModern음악,실기고사,2020-10-20T00:00:00,2020-10-20T00:00:00
경희대학교,수시,실기우수자전형,PostModern음악,최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,실기우수자전형,체육,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,체육,실기고사,2020-10-31T00:00:00,2020-11-01T00:00:00
경희대학교,수시,실기우수자전형,체육,최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,실기우수자전형,"성악, 피아노",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,"성악, 피아노",1단계 고사,2020-10-09T00:00:00,2020-10-10T00:00:00
경희대학교,수시,실기우수자전형,"성악, 피아노",1단계 합격자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
경희대학교,수시,실기우수자전형,"성악, 피아노",2단계 고사,2020-11-14T00:00:00,2020-11-15T00:00:00
경희대학교,수시,실기우수자전형,"성악, 피아노",최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,실기우수자전형,"한국화, 회화, 조소",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,"한국화, 회화, 조소",1단계 합격자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
경희대학교,수시,실기우수자전형,"한국화, 회화, 조소",2단계 고사,2020-11-14T00:00:00,2020-11-15T00:00:00
경희대학교,수시,실기우수자전형,"한국화, 회화, 조소",최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,실기우수자전형,"글로벌(영어)",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,"글로벌(영어)",자기소개서 입력,2020-09-24T10:00:00,2020-10-05T17:00:00
경희대학교,수시,실기우수자전형,"글로벌(영어)",1단계 합격자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
경희대학교,수시,실기우수자전형,"글로벌(영어)",2단계 고사,2020-11-21T14:00:00,2020-11-21T14:00:00
경희대학교,수시,실기우수자전형,"글로벌(영어)",최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,실기우수자전형,K-SW인재,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,K-SW인재,자기소개서 입력,2020-09-24T10:00:00,2020-10-05T17:00:00
경희대학교,수시,실기우수자전형,K-SW인재,1단계 합격자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
경희대학교,수시,실기우수자전형,K-SW인재,2단계 고사,2020-11-21T14:00:00,2020-11-21T14:00:00
경희대학교,수시,실기우수자전형,K-SW인재,최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
경희대학교,수시,실기우수자전형,"연극, 뮤지컬, 연기",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
경희대학교,수시,실기우수자전형,"연극, 뮤지컬, 연기",1단계 고사,2020-10-20T00:00:00,2020-10-20T00:00:00
경희대학교,수시,실기우수자전형,"연극, 뮤지컬, 연기",1단계 합격자 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
경희대학교,수시,실기우수자전형,"연극, 뮤지컬, 연기",2단계 고사,2020-11-21T00:00:00,2020-11-22T00:00:00
경희대학교,수시,실기우수자전형,"연극, 뮤지컬, 연기",최종 합격자 발표,2020-12-09T00:00:00,2020-12-09T00:00:00
