university,sj,jh,major,description,start_date,end_date
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
계명대학교,수시,학생부교과(고른기회)전형,의용공학과,원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
계명대학교,수시,농어촌전형,의용공학과,원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",자기소개서 입력,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",자기소개서 입력,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,학생부교과(고른기회)전형,의용공학과,서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,농어촌전형,의용공학과,서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",1단계 발표,2020-10-30T00:00:00,2020-10-30T00:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",1단계 발표,2020-10-30T00:00:00,2020-10-30T00:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",1단계 발표,2020-11-24T00:00:00,2020-11-24T00:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",1단계 발표,2020-11-24T00:00:00,2020-11-24T00:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",면접고사,2020-12-13T00:00:00,2020-12-13T00:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",면접고사,2020-12-05T00:00:00,2020-12-05T00:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",면접고사,2020-12-06T00:00:00,2020-12-06T00:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",최초 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",최초 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
계명대학교,수시,학생부교과(고른기회)전형,의용공학과,최초 합격자 발표,2020-11-24T00:00:00,2020-11-24T00:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",최초 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",최초 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
계명대학교,수시,농어촌전형,의용공학과,최초 합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",합격자 예치 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",합격자 예치 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
계명대학교,수시,학생부교과(고른기회)전형,의용공학과,합격자 예치 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",합격자 예치 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",합격자 예치 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
계명대학교,수시,농어촌전형,의용공학과,합격자 예치 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
계명대학교,수시,학생부교과(고른기회)전형,의용공학과,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
계명대학교,수시,농어촌전형,의용공학과,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",충원 합격자 예치 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",충원 합격자 예치 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
계명대학교,수시,학생부교과(고른기회)전형,의용공학과,충원 합격자 예치 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",충원 합격자 예치 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",충원 합격자 예치 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
계명대학교,수시,농어촌전형,의용공학과,충원 합격자 예치 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
계명대학교,수시,학생부교과(일반)전형,"의예과,의용공학과",합격자 최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
계명대학교,수시,학생부교과(지역)전형,"의예과,의용공학과",합격자 최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
계명대학교,수시,학생부교과(고른기회)전형,의용공학과,합격자 최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
계명대학교,수시,학생부종합(일반)전형,"의예과,의용공학과",합격자 최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
계명대학교,수시,학생부종합(지역)전형,"의예과,의용공학과",합격자 최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
계명대학교,수시,농어촌전형,의용공학과,합격자 최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
