university,sj,jh,major,description,start_date,end_date
고려대학교,수시,학교추천전형,인문계,추천대상자명단 제출,2020-09-14T10:00:00,2020-09-22T17:00:00
고려대학교,수시,학교추천전형,자연계,추천대상자명단 제출,2020-09-14T10:00:00,2020-09-22T17:00:00
고려대학교,수시,학교추천전형,인문계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,학교추천전형,자연계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,일반전형(학업우수형),인문계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,일반전형(학업우수형),자연계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,일반전형(계열적합형),인문계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,일반전형(계열적합형),자연계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,기회균등전형,"농어촌학생, 사회배려자,특수교육대상자",원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,기회균등전형,"농어촌학생, 사회배려자,특수교육대상자 제외",원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,특기자전형,인문계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,특기자전형,컴퓨터학과,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,특기자전형,사이버국방학과,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,특기자전형,디자인조형학부,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,특기자전형,체육교육과,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
고려대학교,수시,학교추천전형,인문계,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,학교추천전형,자연계,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,일반전형(학업우수형),인문계,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,일반전형(학업우수형),자연계,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,일반전형(계열적합형),인문계,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,일반전형(계열적합형),자연계,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,기회균등전형,"농어촌학생, 사회배려자,특수교육대상자",온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,기회균등전형,"농어촌학생, 사회배려자,특수교육대상자 제외",온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,특기자전형,인문계,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,특기자전형,컴퓨터학과,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,특기자전형,사이버국방학과,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,특기자전형,디자인조형학부,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,특기자전형,체육교육과,온라인입력,2020-09-23T10:00:00,2020-09-25T19:00:00
고려대학교,수시,학교추천전형,인문계,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,학교추천전형,자연계,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,일반전형(학업우수형),인문계,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,일반전형(학업우수형),자연계,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,일반전형(계열적합형),인문계,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,일반전형(계열적합형),자연계,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,기회균등전형,"농어촌학생, 사회배려자,특수교육대상자",서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,기회균등전형,"농어촌학생, 사회배려자,특수교육대상자 제외",서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,특기자전형,인문계,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,특기자전형,컴퓨터학과,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,특기자전형,사이버국방학과,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,특기자전형,디자인조형학부,서류제출,2020-09-28T10:00:00,2020-09-28T10:00:00
고려대학교,수시,특기자전형,체육교육과,온라인 서류제출,2020-09-25T19:00:00,2020-09-25T19:00:00
고려대학교,수시,학교추천전형,인문계,면접고사,2020-12-05T08:10:00,2020-12-05T08:10:00
고려대학교,수시,학교추천전형,자연계,면접고사,2020-12-06T08:10:00,2020-12-06T08:10:00
고려대학교,수시,학교추천전형,인문계,최종합격자발표,2020-12-27T17:00:00,2020-12-27T17:00:00
고려대학교,수시,학교추천전형,자연계,최종합격자발표,2020-12-27T17:00:00,2020-12-27T17:00:00
고려대학교,수시,일반전형(학업우수형),인문계,1단계 합격자발표,2020-12-03T17:00:00,2020-12-03T17:00:00
고려대학교,수시,일반전형(학업우수형),자연계,1단계 합격자발표,2020-12-03T17:00:00,2020-12-03T17:00:00
고려대학교,수시,일반전형(학업우수형),인문계,면접고사,2020-12-11T08:10:00,2020-12-11T08:10:00
고려대학교,수시,일반전형(학업우수형),자연계,면접고사,2020-12-12T08:10:00,2020-12-12T08:10:00
고려대학교,수시,일반전형(학업우수형),인문계,최종합격자발표,2020-12-27T17:00:00,2020-12-27T17:00:00
