university,sj,jh,major,description,start_date,end_date
고신대학교,수시,학생부교과(일반고)전형,의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,서류제출,2020-09-23T09:00:00,2020-10-07T16:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,서류제출,2020-09-23T09:00:00,2020-10-07T16:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,1단계 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,1단계 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,면접고사(부울경),2020-12-12T08:00:00,2020-12-12T08:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,면접고사(부울경),2020-12-12T08:00:00,2020-12-12T08:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,면접고사(기타지역),2020-12-12T13:00:00,2020-12-12T13:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,면접고사(기타지역),2020-12-12T13:00:00,2020-12-12T13:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,최초합격자 발표,2020-12-26T14:00:00,2020-12-26T14:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,최초합격자 발표,2020-12-26T14:00:00,2020-12-26T14:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,예치금 등록기간,2020-12-28T00:00:00,2020-12-30T16:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,예치금 등록기간,2020-12-28T00:00:00,2020-12-30T16:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,충원합격자 발표,2020-12-30T21:00:00,2021-01-04T21:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,충원합격자 발표,2020-12-30T21:00:00,2021-01-04T21:00:00
고신대학교,수시,학생부교과(일반고)전형,의과대학,충원합격 등록기간,2020-12-30T22:00:00,2021-01-05T21:00:00
고신대학교,수시,학생부교과(지역인재)전형,의과대학,충원합격 등록기간,2020-12-30T22:00:00,2021-01-05T21:00:00
