university,sj,jh,major,description,start_date,end_date
공군사관학교,수시,일반전형,전 학과,원서접수,2020-07-10T09:00:00,2020-07-20T23:59:59
공군사관학교,수시,특별전형,전 학과,원서접수,2020-07-10T09:00:00,2020-07-20T23:59:59
공군사관학교,수시,일반전형,전 학과,1차시험,2020-08-15T10:00:00,2020-08-15T16:10:00
공군사관학교,수시,특별전형,전 학과,1차시험,2020-08-15T10:00:00,2020-08-15T16:10:00
공군사관학교,수시,일반전형,전 학과,성적확인 및 지원확정,2020-08-21T09:00:00,2020-08-25T12:00:00
공군사관학교,수시,특별전형,전 학과,성적확인 및 지원확정,2020-08-21T09:00:00,2020-08-25T12:00:00
공군사관학교,수시,일반전형,전 학과,1차시험 합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
공군사관학교,수시,특별전형,전 학과,1차시험 합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
공군사관학교,수시,일반전형,전 학과,2차시험 등록서류 제출,2020-09-01T00:00:00,2020-09-04T00:00:00
공군사관학교,수시,특별전형,전 학과,2차시험 등록서류 제출,2020-09-01T00:00:00,2020-09-04T00:00:00
공군사관학교,수시,일반전형,전 학과,1차시험 추가합격자 발표,2020-09-08T09:00:00,2020-09-08T09:00:00
공군사관학교,수시,특별전형,전 학과,1차시험 추가합격자 발표,2020-09-08T09:00:00,2020-09-08T09:00:00
공군사관학교,수시,일반전형,전 학과,추가합격자 등록서류 제출,2020-09-08T00:00:00,2020-09-11T00:00:00
공군사관학교,수시,특별전형,전 학과,추가합격자 등록서류 제출,2020-09-08T00:00:00,2020-09-11T00:00:00
공군사관학교,수시,일반전형,전 학과,2차시험 기간,2020-09-09T00:00:00,2020-11-03T00:00:00
공군사관학교,수시,특별전형,전 학과,2차시험 기간,2020-09-09T00:00:00,2020-11-03T00:00:00
공군사관학교,수시,일반전형,전 학과,우선선발 합격자 발표,2020-11-27T09:00:00,2020-11-27T09:00:00
공군사관학교,수시,특별전형,전 학과,우선선발 합격자 발표,2020-11-27T09:00:00,2020-11-27T09:00:00
공군사관학교,수시,일반전형,전 학과,최종선발 합격자 발표,2020-12-31T09:00:00,2020-12-31T09:00:00
공군사관학교,수시,특별전형,전 학과,최종선발 합격자 발표,2020-12-31T09:00:00,2020-12-31T09:00:00
공군사관학교,수시,일반전형,전 학과,1차 추가합격자 발표,2021-01-06T09:00:00,2021-01-06T09:00:00
공군사관학교,수시,특별전형,전 학과,1차 추가합격자 발표,2021-01-06T09:00:00,2021-01-06T09:00:00
공군사관학교,수시,일반전형,전 학과,2차 추가합격자 발표,2021-01-12T09:00:00,2021-01-12T09:00:00
공군사관학교,수시,특별전형,전 학과,2차 추가합격자 발표,2021-01-12T09:00:00,2021-01-12T09:00:00
