univ,sj,jh,major,description,start_date,end_date
공주교육대학교,수시,학생부교과,전 학과,원서접수,2020-09-23T10:00:00,2020-09-25T18:00:00
공주교육대학교,수시,학생부교과,전 학과,서류제출,2020-09-29T00:00:00,2020-09-29T00:00:00
공주교육대학교,수시,학생부교과,전 학과,1단계 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
공주교육대학교,수시,학생부교과,전 학과,면접,2020-12-10T00:00:00,2020-12-10T00:00:00
공주교육대학교,수시,학생부교과,전 학과,합격자 발표,2020-12-25T14:00:00,2020-12-25T14:00:00
공주교육대학교,수시,학생부교과,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
공주교육대학교,수시,학생부교과,전 학과,1차 추가 합격자 발표,2020-12-31T14:00:00,2020-12-31T14:00:00
공주교육대학교,수시,학생부교과,전 학과,1차 추가 합격자 등록,2021-01-01T00:00:00,2021-01-01T00:00:00
공주교육대학교,수시,학생부교과,전 학과,추가 합격자 발표 마감,2021-01-04T21:00:00,2021-01-04T21:00:00
공주교육대학교,수시,학생부교과,전 학과,추가 합격자 등록 마감,2021-01-05T00:00:00,2021-01-05T00:00:00
공주교육대학교,수시,학생부종합,전 학과,원서접수,2020-09-23T10:00:00,2020-09-25T18:00:00
공주교육대학교,수시,학생부종합,전 학과,자기소개서 및 추천서 제출,2020-09-23T10:00:00,2020-09-25T18:00:00
공주교육대학교,수시,학생부종합,전 학과,자기소개서 및 추천서 보완 제출,2020-09-23T10:00:00,2020-09-25T18:00:00
공주교육대학교,수시,학생부종합,전 학과,서류제출,2020-09-29T00:00:00,2020-09-29T00:00:00
공주교육대학교,수시,학생부종합,전 학과,1단계 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
공주교육대학교,수시,학생부종합,전 학과,면접,2020-12-10T00:00:00,2020-12-10T00:00:00
공주교육대학교,수시,학생부종합,전 학과,합격자 발표,2020-12-25T14:00:00,2020-12-25T14:00:00
공주교육대학교,수시,학생부종합,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
공주교육대학교,수시,학생부종합,전 학과,1차 추가 합격자 발표,2020-12-31T14:00:00,2020-12-31T14:00:00
공주교육대학교,수시,학생부종합,전 학과,1차 추가 합격자 등록,2021-01-01T00:00:00,2021-01-01T00:00:00
공주교육대학교,수시,학생부종합,전 학과,추가 합격자 발표 마감,2021-01-04T21:00:00,2021-01-04T21:00:00
공주교육대학교,수시,학생부종합,전 학과,추가 합격자 등록 마감,2021-01-05T00:00:00,2021-01-05T00:00:00
