university,sj,jh,major,description,start_date,end_date
국민대학교,수시,교과성적우수자전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,국민프런티어전형,자연,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,학교장추천전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,고른기회I전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,농어촌학생전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,고른기회II전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,취업자전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,연기,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,피아노,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,무용,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,영화,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,회화,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,원서접수,2020-09-25T10:00:00,2020-09-28T17:00:00
국민대학교,수시,교과성적우수자전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,국민프런티어전형,자연,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,학교장추천전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,고른기회I전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,농어촌학생전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,고른기회II전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,취업자전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,특기자전형,연기,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,특기자전형,피아노,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,특기자전형,무용,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,특기자전형,영화,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,특기자전형,회화,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,자기소개서 입력,2020-09-29T17:00:00,2020-09-29T17:00:00
국민대학교,수시,교과성적우수자전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,국민프런티어전형,자연,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,학교장추천전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,고른기회I전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,농어촌학생전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,고른기회II전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,취업자전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,연기,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,피아노,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,무용,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,영화,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,특기자전형,회화,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,서류제출,2020-09-28T17:00:00,2020-09-28T17:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),1단계 합격자 발표,2020-12-09T14:00:00,2020-12-09T14:00:00
국민대학교,수시,국민프런티어전형,자연,1단계 합격자 발표,2020-12-09T14:00:00,2020-12-09T14:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
국민대학교,수시,국민프런티어전형,자연,면접고사,2020-12-13T00:00:00,2020-12-13T00:00:00
국민대학교,수시,고른기회I전형,전 학과,1단계 합격자 발표,2020-11-30T14:00:00,2020-11-30T14:00:00
국민대학교,수시,농어촌학생전형,전 학과,1단계 합격자 발표,2020-11-30T14:00:00,2020-11-30T14:00:00
국민대학교,수시,고른기회I전형,전 학과,면접고사,2020-12-05T00:00:00,2020-12-05T00:00:00
국민대학교,수시,농어촌학생전형,전 학과,면접고사,2020-12-05T00:00:00,2020-12-05T00:00:00
국민대학교,수시,취업자전형,전 학과,1단계 합격자 발표,2020-11-30T14:00:00,2020-11-30T14:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,1단계 합격자 발표,2020-11-30T14:00:00,2020-11-30T14:00:00
국민대학교,수시,취업자전형,전 학과,면접고사,2020-12-06T00:00:00,2020-12-06T00:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,면접고사,2020-12-06T00:00:00,2020-12-06T00:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",1단계 합격자 발표,2020-11-17T14:00:00,2020-11-17T14:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",면접고사,2020-11-21T00:00:00,2020-11-21T00:00:00
국민대학교,수시,특기자전형,연기,1단계 고사장 안내,2020-10-12T14:00:00,2020-10-12T14:00:00
국민대학교,수시,특기자전형,연기,1단계 실기고사,2020-10-15T00:00:00,2020-10-19T00:00:00
국민대학교,수시,특기자전형,연기,1단계 합격자 발표,2020-11-10T14:00:00,2020-11-10T14:00:00
국민대학교,수시,특기자전형,연기,2단계 고사장 안내,2020-11-12T10:00:00,2020-11-12T10:00:00
국민대학교,수시,특기자전형,연기,2단계 실기고사,2020-11-14T00:00:00,2020-11-15T00:00:00
국민대학교,수시,특기자전형,피아노,고사장 안내,2020-10-27T14:00:00,2020-10-27T14:00:00
국민대학교,수시,특기자전형,피아노,실기고사,2020-10-30T00:00:00,2020-11-01T00:00:00
국민대학교,수시,특기자전형,무용,고사장 안내,2020-11-10T14:00:00,2020-11-10T14:00:00
국민대학교,수시,특기자전형,무용,실기고사,2020-11-13T00:00:00,2020-11-15T00:00:00
국민대학교,수시,특기자전형,영화,1단계 고사장 안내,2020-10-12T14:00:00,2020-10-12T14:00:00
국민대학교,수시,특기자전형,영화,실기고사,2020-10-17T00:00:00,2020-10-18T00:00:00
국민대학교,수시,특기자전형,영화,1단계 합격자 발표,2020-10-27T14:00:00,2020-10-27T14:00:00
국민대학교,수시,특기자전형,영화,면접고사,2020-10-31T00:00:00,2020-11-01T00:00:00
국민대학교,수시,특기자전형,회화,1단계 고사장 안내,2020-10-12T14:00:00,2020-10-12T14:00:00
국민대학교,수시,특기자전형,회화,실기고사,2020-10-17T00:00:00,2020-10-18T00:00:00
국민대학교,수시,특기자전형,회화,1단계 합격자 발표,2020-10-27T14:00:00,2020-10-27T14:00:00
국민대학교,수시,특기자전형,회화,면접고사,2020-10-31T00:00:00,2020-11-01T00:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",최초합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
국민대학교,수시,특기자전형,연기,최초합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
국민대학교,수시,특기자전형,피아노,최초합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
국민대학교,수시,특기자전형,무용,최초합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
국민대학교,수시,특기자전형,영화,최초합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
국민대학교,수시,특기자전형,회화,최초합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,최초합격자 발표,2020-11-27T17:00:00,2020-11-27T17:00:00
국민대학교,수시,교과성적우수자전형,전 학과,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,국민프런티어전형,자연,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,학교장추천전형,전 학과,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,고른기회I전형,전 학과,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,농어촌학생전형,전 학과,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,고른기회II전형,전 학과,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,취업자전형,전 학과,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,최초합격자 발표,2020-12-26T17:00:00,2020-12-26T17:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,특기자전형,연기,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,특기자전형,피아노,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,특기자전형,무용,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,특기자전형,영화,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,특기자전형,회화,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,교과성적우수자전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,국민프런티어전형,자연,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,학교장추천전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,고른기회I전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,농어촌학생전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,고른기회II전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,취업자전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,최초합격자 예치금 납부,2020-12-28T09:00:00,2020-12-30T16:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,특기자전형,연기,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,특기자전형,피아노,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,특기자전형,무용,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,특기자전형,영화,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,특기자전형,회화,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,교과성적우수자전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,국민프런티어전형,자연,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,학교장추천전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,고른기회I전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,농어촌학생전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,고른기회II전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,취업자전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,충원합격자 발표,2021-01-01T00:00:00,2021-01-04T00:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,특기자전형,연기,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,특기자전형,피아노,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,특기자전형,무용,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,특기자전형,영화,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,특기자전형,회화,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,교과성적우수자전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,국민프런티어전형,자연,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,학교장추천전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,고른기회I전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,농어촌학생전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,고른기회II전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,취업자전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,충원합격자 예치금 납부,2021-01-01T00:00:00,2021-01-05T00:00:00
국민대학교,수시,특기자전형,"어학, 소프트웨어, 기능, 미술/조형,체육",등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,특기자전형,연기,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,특기자전형,피아노,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,특기자전형,무용,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,특기자전형,영화,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,특기자전형,회화,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,공무원위탁/군위탁전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,교과성적우수자전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,국민프런티어전형,인문/예체능(경영대학 자연계 모집단위 포함),등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,국민프런티어전형,자연,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,학교장추천전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,고른기회I전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,농어촌학생전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,고른기회II전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,취업자전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
국민대학교,수시,특성화고등을졸업한재직자전형,전 학과,등록금 완납,2021-02-08T09:00:00,2021-02-10T16:00:00
