univ,sj,jh,name
단국대학교,수시,학생부종합전형 (DKU인재),전 학과
단국대학교,수시,학생부종합전형 (SW인재),전 학과
단국대학교,수시,학생부종합전형 (그 외),전 학과
단국대학교,수시,학생부교과전형,전 학과
단국대학교,수시,논술전형,인문계
단국대학교,수시,논술전형,자연계
단국대학교,수시,실기전형,공연영화학부 (영화)
단국대학교,수시,실기전형,공연영화학부 (연극-연기)
단국대학교,수시,실기전형,공연영화학부 (연극-연출)
단국대학교,수시,실기전형,공연영화학부 (뮤지컬)
단국대학교,수시,실기전형,도예과
단국대학교,수시,실기전형,디자인학부 (패션산업디자인전공)
단국대학교,수시,실기전형,디자인학부 (커뮤니케이션디자인전공)
단국대학교,수시,실기전형,무용과 (현대무용)
단국대학교,수시,실기전형,"무용과 (한국무용, 발레)"
단국대학교,수시,실기전형,음악학부 피아노전공
단국대학교,수시,실기전형,음악학부 관현악전공 (현악)
단국대학교,수시,실기전형,음악학부 관현악전공 (관악-목관)
단국대학교,수시,실기전형,"음악학부 관현악전공 (관악-금관, 타악)"
단국대학교,수시,실기전형,음악학부 성악전공 (여자)
단국대학교,수시,실기전형,음악학부 성악전공 (남자)
단국대학교,수시,실기전형,음악학부 작곡전공
단국대학교,수시,실기전형,음악학부 국악전공
