univ,sj,jh,major,description,start_date,end_date
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,원서접수,2020-09-26T10:00:00,2020-09-28T17:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,서류제출,2020-09-26T10:00:00,2020-09-29T17:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,1차 충원합격자 발표,2021-01-01T22:00:00,2021-01-01T22:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,1차 충원합격자 등록,2021-01-02T09:00:00,2021-01-02T16:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,2차 충원합격자 발표,2021-01-02T22:00:00,2021-01-02T22:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,2차 충원합격자 등록,2021-01-03T09:00:00,2021-01-03T16:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,3차 충원합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
단국대학교,수시,학생부종합전형 (DKU인재),전 학과,3차 충원합격자 등록,2021-01-05T09:00:00,2021-01-05T16:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,원서접수,2020-09-26T10:00:00,2020-09-28T17:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,서류제출,2020-09-26T10:00:00,2020-09-29T17:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,1단계 합격자 발표,2020-11-30T10:00:00,2020-11-30T10:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,면접,2020-12-12T09:00:00,2020-12-12T18:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,1차 충원합격자 발표,2021-01-01T22:00:00,2021-01-01T22:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,1차 충원합격자 등록,2021-01-02T09:00:00,2021-01-02T16:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,2차 충원합격자 발표,2021-01-02T22:00:00,2021-01-02T22:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,2차 충원합격자 등록,2021-01-03T09:00:00,2021-01-03T16:00:00
단국대학교,수시,학생부종합전형 (SW인재),전 학과,3차 충원합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
