univ,sj,jh,major,description,start_date,end_date
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,1단계 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,면접,2020-12-05T00:00:00,2020-12-05T00:00:00
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,최초 합격자 발표,2020-12-26T00:00:00,2020-12-26T00:00:00
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,충원 합격자 발표,2020-12-30T00:00:00,2021-01-04T21:00:00
대구가톨릭대학교,수시,"학생부교과(지역교과우수자, DCU자기추천)",의과대학,충원 합격자 등록,2020-12-30T00:00:00,2021-01-05T16:00:00
대구가톨릭대학교,수시,학생부교과(농어촌),의과대학,원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
대구가톨릭대학교,수시,학생부교과(농어촌),의과대학,서류제출,2020-09-23T00:00:00,2020-10-06T18:00:00
대구가톨릭대학교,수시,학생부교과(농어촌),의과대학,최초 합격자 발표,2020-12-26T00:00:00,2020-12-26T00:00:00
대구가톨릭대학교,수시,학생부교과(농어촌),의과대학,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
대구가톨릭대학교,수시,학생부교과(농어촌),의과대학,충원 합격자 발표,2020-12-30T00:00:00,2021-01-04T21:00:00
대구가톨릭대학교,수시,학생부교과(농어촌),의과대학,충원 합격자 등록,2020-12-30T00:00:00,2021-01-05T16:00:00
