university,sj,jh,major,description,start_date,end_date
부산교육대학교,수시,학생부종합,전 학과,온라인원서접수,2020-09-24T10:00:00,2020-09-28T17:00:00
부산교육대학교,수시,학생부종합,전 학과,서류제출,2020-09-24T00:00:00,2020-10-05T00:00:00
부산교육대학교,수시,학생부종합,전 학과,1단계 전형 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
부산교육대학교,수시,학생부종합,전 학과,2단계 전형 면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
부산교육대학교,수시,학생부종합,전 학과,최초합격자 발표,2020-12-24T00:00:00,2020-12-24T00:00:00
부산교육대학교,수시,학생부종합,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
부산교육대학교,수시,학생부종합,전 학과,1차 합격자 발표,2020-12-31T00:00:00,2020-12-31T00:00:00
부산교육대학교,수시,학생부종합,전 학과,1차 합격자 등록,2020-12-31T00:00:00,2020-12-31T00:00:00
부산교육대학교,수시,학생부종합,전 학과,2차 합격자 발표,2021-01-04T00:00:00,2021-01-04T00:00:00
부산교육대학교,수시,학생부종합,전 학과,2차 합격자 등록,2021-01-04T00:00:00,2021-01-04T00:00:00
부산교육대학교,수시,학생부종합,전 학과,추가합격자 통보 마감,2021-01-04T21:00:00,2021-01-04T21:00:00
부산교육대학교,수시,학생부종합,전 학과,추가 합격자 등록 마감,2021-01-05T23:59:59,2021-01-05T23:59:59
부산교육대학교,수시,학생부종합,전 학과,등록금 차액 납부,2021-02-08T00:00:00,2021-02-10T00:00:00
