univ,sj,jh,major,description,start_date,end_date
부산대학교,수시,학생부교과전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
부산대학교,수시,학생부교과전형,전 학과,서류제출 (해당자),2020-09-24T09:00:00,2020-09-29T18:00:00
부산대학교,수시,학생부교과전형,전 학과,합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
부산대학교,수시,학생부교과전형,전 학과,합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
부산대학교,수시,학생부교과전형,전 학과,충원합격자 발표,2020-12-31T18:00:00,2021-01-04T20:00:00
부산대학교,수시,학생부교과전형,전 학과,충원합격자 등록,2021-01-01T10:00:00,2021-01-05T16:00:00
부산대학교,수시,학생부종합전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
부산대학교,수시,학생부종합전형,전 학과,자기소개서 입력,2020-09-24T09:00:00,2020-09-29T18:00:00
부산대학교,수시,학생부종합전형,전 학과,서류제출 (해당자),2020-09-24T09:00:00,2020-09-29T18:00:00
부산대학교,수시,학생부종합전형,전 학과,합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
부산대학교,수시,학생부종합전형,전 학과,합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
부산대학교,수시,학생부종합전형,전 학과,충원합격자 발표,2020-12-31T18:00:00,2021-01-04T20:00:00
부산대학교,수시,학생부종합전형,전 학과,충원합격자 등록,2021-01-01T10:00:00,2021-01-05T16:00:00
부산대학교,수시,논술전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
부산대학교,수시,논술전형,전 학과,서류제출 (해당자),2020-09-24T09:00:00,2020-09-29T18:00:00
부산대학교,수시,논술전형,전 학과,논술고사 일정 공지,2020-12-09T16:00:00,2020-12-09T16:00:00
부산대학교,수시,논술전형,전 학과,논술고사,2020-12-12T09:30:00,2020-12-12T17:10:00
부산대학교,수시,논술전형,전 학과,합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
부산대학교,수시,논술전형,전 학과,합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
부산대학교,수시,논술전형,전 학과,충원합격자 발표,2020-12-31T18:00:00,2021-01-04T20:00:00
부산대학교,수시,논술전형,전 학과,충원합격자 등록,2021-01-01T10:00:00,2021-01-05T16:00:00
부산대학교,수시,실기전형 (일반),체육교육과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
부산대학교,수시,실기전형 (일반),체육교육과,서류제출 (해당자),2020-09-24T09:00:00,2020-09-29T18:00:00
부산대학교,수시,실기전형 (일반),체육교육과,실기고사 일정 공지,2020-11-05T16:00:00,2020-11-05T16:00:00
부산대학교,수시,실기전형 (일반),체육교육과,실기고사,2020-11-10T00:00:00,2020-11-11T00:00:00
부산대학교,수시,실기전형 (일반),체육교육과,합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
부산대학교,수시,실기전형 (일반),체육교육과,합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
부산대학교,수시,실기전형 (일반),체육교육과,충원합격자 발표,2020-12-31T18:00:00,2021-01-04T20:00:00
부산대학교,수시,실기전형 (일반),체육교육과,충원합격자 등록,2021-01-01T10:00:00,2021-01-05T16:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",서류제출 (해당자),2020-09-24T09:00:00,2020-09-29T18:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",실기고사 일정 공지,2020-10-30T16:00:00,2020-10-30T16:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",실기고사,2020-11-04T00:00:00,2020-11-05T00:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",합격자 발표,2020-12-27T16:00:00,2020-12-27T16:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",충원합격자 발표,2020-12-31T18:00:00,2021-01-04T20:00:00
부산대학교,수시,실기전형 (일반),"미술학과, 조형학과",충원합격자 등록,2021-01-01T10:00:00,2021-01-05T16:00:00
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과",원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과",서류제출 (해당자),2020-09-24T09:00:00,2020-09-29T18:00:00
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과",실기고사 일정 공지,2020-10-30T16:00:00,2020-10-30T16:00:00
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과",실기고사,2020-11-04T00:00:00,2020-11-05T00:00:00
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과",합격자 발표,2020-11-27T16:00:00,2020-11-27T00:00:00
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과",합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
부산대학교,수시,실기전형 (일반),"음악학과, 한국음악학과, 무용학과",충원합격자 발표,2020-12-31T18:00:00,2021-01-04T20:00:00
