university,sj,jh,major,description,start_date,end_date
서강대학교,수시,학생부종합(1차)전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,학생부종합(2차)전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,SW우수자전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,고른기회전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,사회통합전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,논술전형,자연,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,논술전형,인문,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,특성화고교졸업자전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
서강대학교,수시,학생부종합(1차)전형,전 학과,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,학생부종합(2차)전형,전 학과,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,SW우수자전형,전 학과,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,고른기회전형,전 학과,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,사회통합전형,전 학과,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,논술전형,자연,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,논술전형,인문,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,특성화고교졸업자전형,전 학과,서류제출,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,학생부종합(1차)전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,SW우수자전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,고른기회전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,사회통합전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,논술전형,자연,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,논술전형,인문,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,특성화고교졸업자전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
서강대학교,수시,학생부종합(2차)전형,전 학과,자기소개서 입력,2020-12-03T10:00:00,2020-12-07T12:00:00
서강대학교,수시,논술전형,자연,논술시험,2020-12-05T10:00:00,2020-12-05T10:00:00
서강대학교,수시,논술전형,인문,논술시험,2020-12-06T10:00:00,2020-12-06T10:00:00
서강대학교,수시,특성화고교졸업자전형,전 학과,최종합격자 발표,2020-12-18T17:00:00,2020-12-18T17:00:00
서강대학교,수시,학생부종합(1차)전형,전 학과,최종합격자 발표,2020-12-18T17:00:00,2020-12-18T17:00:00
서강대학교,수시,SW우수자전형,전 학과,최종합격자 발표,2020-12-18T17:00:00,2020-12-18T17:00:00
서강대학교,수시,고른기회전형,전 학과,최종합격자 발표,2020-12-18T17:00:00,2020-12-18T17:00:00
서강대학교,수시,사회통합전형,전 학과,최종합격자 발표,2020-12-18T17:00:00,2020-12-18T17:00:00
서강대학교,수시,학생부종합(2차)전형,전 학과,최종합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서강대학교,수시,논술전형,자연,최종합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서강대학교,수시,논술전형,인문,최종합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서강대학교,수시,학생부종합(1차)전형,전 학과,합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
서강대학교,수시,학생부종합(2차)전형,전 학과,합격자 등록,2020-12-28T10:00:00,2020-12-30T16:00:00
