univ,sj,jh,name
서울대학교,수시,지역균형선발전형,"의과대학, 치의학대학원 치의학과, 수의과대학"
서울대학교,수시,지역균형선발전형,미술대학
서울대학교,수시,지역균형선발전형,"음악대학 (성악과, 기악과, 국악과)"
서울대학교,수시,지역균형선발전형,음악대학 (작곡과 작곡전공)
서울대학교,수시,지역균형선발전형,음악대학 (작곡과 이론전공)
서울대학교,수시,지역균형선발전형,그 외
서울대학교,수시,일반전형,"의과대학, 치의학대학원 치의학과, 수의과대학"
서울대학교,수시,일반전형,사범대학 (체육교육과)
서울대학교,수시,일반전형,사범대학 (체육교육과 외)
서울대학교,수시,일반전형,"미술대학 (동양화과, 서양화과, 조소과)"
서울대학교,수시,일반전형,미술대학 (디자인과)
서울대학교,수시,일반전형,"음악대학 (성악과, 기악과)"
서울대학교,수시,일반전형,음악대학 (국악과)
서울대학교,수시,일반전형,음악대학 (작곡과 작곡전공)
서울대학교,수시,일반전형,음악대학 (작곡과 이론전공)
서울대학교,수시,일반전형,그 외
서울대학교,수시,기회균형선발특별전형 I,수의과대학
서울대학교,수시,기회균형선발특별전형 I,미술대학
서울대학교,수시,기회균형선발특별전형 I,"음악대학 (성악과, 기악과, 국악과)"
서울대학교,수시,기회균형선발특별전형 I,음악대학 (작곡과 작곡전공)
서울대학교,수시,기회균형선발특별전형 I,음악대학 (작곡과 이론전공)
서울대학교,수시,기회균형선발특별전형 I,그 외
