university,sj,jh,major,description,start_date,end_date
서울시립대학교,수시,논술전형,전학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,학생부 교과전형,전학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,학생부 종합전형,전학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,고른기회전형,전학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,"사회공헌,통합전형",전학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,학생부교과(실기전형),산업디자인학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,실기(실기전형),성악전공(여자),원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,실기(실기전형),성악전공(남자),원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,실기(실기전형),피아노전공,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,학생부교과(정원외 특별전형),전학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
서울시립대학교,수시,학생부 종합전형,전학과,자기소개서 온라인제출,2020-09-23T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,고른기회전형,전학과,자기소개서 온라인제출,2020-09-23T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,"사회공헌,통합전형",전학과,자기소개서 온라인제출,2020-09-23T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,논술전형,전학과,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,학생부 교과전형,전학과,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,학생부 종합전형,전학과,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,고른기회전형,전학과,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,"사회공헌,통합전형",전학과,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,학생부교과(실기전형),산업디자인학과,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,실기(실기전형),성악전공(여자),자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,실기(실기전형),성악전공(남자),자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,실기(실기전형),피아노전공,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,학생부교과(정원외 특별전형),전학과,자격확인 서류접수,2020-09-24T10:00:00,2020-09-29T18:00:00
서울시립대학교,수시,학생부교과(실기전형),산업디자인학과,실기전형 1단계 합격자 발표,2020-10-23T00:00:00,2020-10-23T00:00:00
서울시립대학교,수시,논술전형,전학과,논술고사,2020-10-24T00:00:00,2020-10-24T00:00:00
서울시립대학교,수시,실기(실기전형),성악전공(여자),실기고사,2020-10-30T00:00:00,2020-10-30T00:00:00
서울시립대학교,수시,실기(실기전형),성악전공(남자),실기고사,2020-10-31T00:00:00,2020-10-31T00:00:00
서울시립대학교,수시,학생부교과(실기전형),산업디자인학과,실기고사(1단계 합격자만),2020-10-31T00:00:00,2020-10-31T00:00:00
서울시립대학교,수시,실기(실기전형),피아노전공,실기고사,2020-11-07T00:00:00,2020-11-07T00:00:00
서울시립대학교,수시,학생부 종합전형,전학과,학생부종합전형 1단계 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
서울시립대학교,수시,고른기회전형,전학과,학생부종합전형 1단계 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
서울시립대학교,수시,"사회공헌,통합전형",전학과,학생부종합전형 1단계 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
서울시립대학교,수시,학생부교과(실기전형),산업디자인학과,실기전형 2단계 합격자 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
서울시립대학교,수시,학생부 종합전형,전학과,면접평가(1차 서류평가 합격자만),2020-12-12T00:00:00,2020-12-12T00:00:00
서울시립대학교,수시,학생부교과(실기전형),산업디자인학과,면접평가(2단계 합격자만),2020-12-12T00:00:00,2020-12-12T00:00:00
서울시립대학교,수시,고른기회전형,전학과,면접평가(1차 서류평가 합격자만),2020-12-13T00:00:00,2020-12-13T00:00:00
서울시립대학교,수시,"사회공헌,통합전형",전학과,면접평가(1차 서류평가 합격자만),2020-12-13T00:00:00,2020-12-13T00:00:00
서울시립대학교,수시,논술전형,전학과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,학생부 교과전형,전학과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,학생부 종합전형,전학과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,고른기회전형,전학과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,"사회공헌,통합전형",전학과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,학생부교과(실기전형),산업디자인학과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,실기(실기전형),성악전공(여자),합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,실기(실기전형),성악전공(남자),합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
서울시립대학교,수시,실기(실기전형),피아노전공,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
