univ,sj,jh,major,description,start_date,end_date
성균관대학교,수시,학생부종합 (계열모집),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T17:00:00
성균관대학교,수시,학생부종합 (계열모집),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
성균관대학교,수시,학생부종합 (계열모집),전 학과,서류제출,2020-09-25T10:00:00,2020-09-29T17:00:00
성균관대학교,수시,학생부종합 (계열모집),전 학과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
성균관대학교,수시,학생부종합 (계열모집),전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
성균관대학교,수시,학생부종합 (계열모집),전 학과,추가합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
성균관대학교,수시,학생부종합 (계열모집),전 학과,추가합격자 등록,2020-12-31T00:00:00,2021-01-05T16:00:00
성균관대학교,수시,학생부종합 (계열모집),전 학과,합격자 최종등록,2021-02-08T00:00:00,2021-02-10T16:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,원서접수,2020-09-24T10:00:00,2020-09-28T17:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,서류제출,2020-09-25T10:00:00,2020-09-29T17:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,면접 대상자 및 시험장 발표,2020-11-11T00:00:00,2020-11-11T00:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,면접,2020-11-14T00:00:00,2020-11-14T00:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,추가합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,추가합격자 등록,2020-12-31T00:00:00,2021-01-05T16:00:00
성균관대학교,수시,학생부종합 (학과모집),의예과,합격자 최종등록,2021-02-08T00:00:00,2021-02-10T16:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,원서접수,2020-09-24T10:00:00,2020-09-28T17:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,서류제출,2020-09-25T10:00:00,2020-09-29T17:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,면접 대상자 및 시험장 발표,2020-11-04T00:00:00,2020-11-04T00:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,면접,2020-11-07T00:00:00,2020-11-07T00:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,추가합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
성균관대학교,수시,학생부종합 (학과모집),사범대학,추가합격자 등록,2020-12-31T00:00:00,2021-01-05T16:00:00
