university,sj,jh,major,description,start_date,end_date
성신여자대학교,수시,학교생활우수자전형,전 학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,고른기회전형,전 학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,기회균형선발전형,전 학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,학생부교과전형,교과우수자전형,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,학생부교과전형,그 외,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,논술우수자전형,전 학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(피아노),원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(관악),원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(현악),원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(타악기),원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,"서양화과,공예과",원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,"동양화과,산업디자인과",원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,"뷰티산업학과,조소과",원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,성악과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,작곡과(작곡전공),원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,작곡과(이론전공),원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,미디어영상연기학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,현대실용음악학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,실기/실적전형,무용예술학과,원서접수,2020-09-24T11:00:00,2020-09-28T18:00:00
성신여자대학교,수시,학교생활우수자전형,전 학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,고른기회전형,전 학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,기회균형선발전형,전 학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,학생부교과전형,교과우수자전형,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,학생부교과전형,그 외,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,논술우수자전형,전 학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(피아노),서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(관악),서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(현악),서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,기악과(타악기),서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,"서양화과,공예과",서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,"동양화과,산업디자인과",서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,"뷰티산업학과,조소과",서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,성악과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,작곡과(작곡전공),서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,작곡과(이론전공),서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,미디어영상연기학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,현대실용음악학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,실기/실적전형,무용예술학과,서류 제출,2020-09-24T11:00:00,2020-09-29T18:00:00
성신여자대학교,수시,논술우수자전형,전 학과,고사장 발표,2020-10-08T00:00:00,2020-10-08T00:00:00
성신여자대학교,수시,논술우수자전형,전 학과,논술고사,2020-10-11T00:00:00,2020-10-11T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(피아노),실기고사,2020-10-24T00:00:00,2020-10-25T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(관악),실기고사,2020-10-31T00:00:00,2020-11-01T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(현악),실기고사,2020-10-24T00:00:00,2020-10-25T00:00:00
성신여자대학교,수시,실기/실적전형,"서양화과,공예과",실기고사,2020-10-24T00:00:00,2020-10-24T00:00:00
성신여자대학교,수시,실기/실적전형,"동양화과,산업디자인과",실기고사,2020-10-25T00:00:00,2020-10-25T00:00:00
성신여자대학교,수시,실기/실적전형,"뷰티산업학과,조소과",실기고사,2020-10-31T00:00:00,2020-10-31T00:00:00
성신여자대학교,수시,실기/실적전형,성악과,실기고사,2020-10-24T00:00:00,2020-10-25T00:00:00
성신여자대학교,수시,실기/실적전형,작곡과(작곡전공),실기고사(화성풀이/작곡),2020-10-24T00:00:00,2020-10-24T00:00:00
성신여자대학교,수시,실기/실적전형,작곡과(작곡전공),실기고사(피아노실기),2020-10-25T00:00:00,2020-10-25T00:00:00
성신여자대학교,수시,실기/실적전형,작곡과(이론전공),실기고사,2020-10-25T00:00:00,2020-10-25T00:00:00
성신여자대학교,수시,실기/실적전형,미디어영상연기학과,1단계 실기고사,2020-10-29T00:00:00,2020-11-01T00:00:00
성신여자대학교,수시,실기/실적전형,현대실용음악학과,실기고사,2020-10-29T00:00:00,2020-11-01T00:00:00
성신여자대학교,수시,실기/실적전형,무용예술학과,실기고사,2020-10-31T00:00:00,2020-11-01T00:00:00
성신여자대학교,수시,실기/실적전형,미디어영상연기학과,1단계 합격자 발표,2020-11-04T00:00:00,2020-11-04T00:00:00
성신여자대학교,수시,실기/실적전형,미디어영상연기학과,2단계 실기고사,2020-11-14T00:00:00,2020-11-14T00:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,1단계 합격자 발표,2020-11-27T00:00:00,2020-11-27T00:00:00
성신여자대학교,수시,학생부교과전형,그 외,고사장 발표,2020-11-27T00:00:00,2020-11-27T00:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,고사장 발표,2020-11-27T00:00:00,2020-11-27T00:00:00
성신여자대학교,수시,학생부교과전형,그 외,면접고사,2020-12-05T00:00:00,2020-12-05T00:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,면접고사,2020-12-05T00:00:00,2020-12-06T00:00:00
성신여자대학교,수시,학교생활우수자전형,전 학과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,고른기회전형,전 학과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,기회균형선발전형,전 학과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,학생부교과전형,그 외,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(피아노),합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(관악),합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(현악),합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(타악기),합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,"서양화과,공예과",합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,"동양화과,산업디자인과",합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,"뷰티산업학과,조소과",합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,성악과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,작곡과(작곡전공),합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,작곡과(이론전공),합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,미디어영상연기학과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,현대실용음악학과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,실기/실적전형,무용예술학과,합격자 발표,2020-12-12T00:00:00,2020-12-12T00:00:00
성신여자대학교,수시,학생부교과전형,교과우수자전형,합격자 발표,2020-12-25T00:00:00,2020-12-25T00:00:00
성신여자대학교,수시,논술우수자전형,전 학과,합격자 발표,2020-12-25T00:00:00,2020-12-25T00:00:00
성신여자대학교,수시,학교생활우수자전형,전 학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,고른기회전형,전 학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,기회균형선발전형,전 학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,학생부교과전형,그 외,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(피아노),등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(관악),등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(현악),등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,기악과(타악기),등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,"서양화과,공예과",등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,"동양화과,산업디자인과",등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,"뷰티산업학과,조소과",등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,성악과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,작곡과(작곡전공),등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,작곡과(이론전공),등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,미디어영상연기학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,현대실용음악학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,실기/실적전형,무용예술학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,학생부교과전형,교과우수자전형,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,논술우수자전형,전 학과,등록예치금 고지서 출력,2020-12-25T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,학교생활우수자전형,전 학과,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,자기주도인재전형,전 학과,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,고른기회전형,전 학과,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
성신여자대학교,수시,기회균형선발전형,전 학과,최초 합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
