univ,sj,jh,major,description,start_date,end_date
세명대학교,수시,학생부교과,한의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T21:00:00
세명대학교,수시,학생부교과,한의과대학,서류제출,2020-10-08T17:00:00,2020-10-08T17:00:00
세명대학교,수시,학생부교과,한의과대학,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
세명대학교,수시,학생부교과,한의과대학,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
세명대학교,수시,학생부교과,한의과대학,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
세명대학교,수시,학생부교과,한의과대학,충원 합격자 등록,2020-12-31T00:00:00,2021-01-05T16:00:00
세명대학교,수시,학생부종합,한의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T21:00:00
세명대학교,수시,학생부종합,한의과대학,서류제출,2020-10-08T17:00:00,2020-10-08T17:00:00
세명대학교,수시,학생부종합,한의과대학,1단계 합격자 발표,2020-11-09T00:00:00,2020-11-09T00:00:00
세명대학교,수시,학생부종합,한의과대학,면접,2020-11-13T00:00:00,2020-11-14T00:00:00
세명대학교,수시,학생부종합,한의과대학,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
세명대학교,수시,학생부종합,한의과대학,합격자 등록,2020-12-28T00:00:00,2020-12-30T16:00:00
세명대학교,수시,학생부종합,한의과대학,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
세명대학교,수시,학생부종합,한의과대학,충원 합격자 등록,2020-12-31T00:00:00,2021-01-05T16:00:00
