university,sj,jh,major,description,start_date,end_date
숙명여자대학교,수시,숙명인재Ⅰ(서류형)/고른기회/농어촌학생/특성화고교출신자/특성화고졸재직자,전 학과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,숙명인재Ⅱ(면접형),"인문계,의류학과",인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,숙명인재Ⅱ(면접형),자연계(의류학과 제외),인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,소프트웨어융합인재,전 학과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,특수교육대상자,전 학과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,학생부교과,전 학과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,논술우수자,"인문계,의류학과",인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,논술우수자,자연계(의류학과 제외),인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,예능창의인재,"피아노과, 관현악과, 성악과",인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,예능창의인재,미술대학,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,예능창의인재,체육교육과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,예능창의인재,무용과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,예능창의인재,작곡과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,예능창의인재,"시각·영상디자인과, 산업디자인과,환경디자인과,공예과",인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,예능창의인재,회화과,인터넷 입학원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
숙명여자대학교,수시,숙명인재Ⅰ(서류형)/고른기회/농어촌학생/특성화고교출신자/특성화고졸재직자,전 학과,서류제출 기간(온라인 서류 작성기간),2020-09-23T10:00:00,2020-09-29T18:00:00
숙명여자대학교,수시,숙명인재Ⅱ(면접형),"인문계,의류학과",서류제출 기간(온라인 서류 작성기간),2020-09-23T10:00:00,2020-09-29T18:00:00
