univ,sj,jh,major,description,start_date,end_date
순천향대학교,수시,학생부교과,의예과,원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
순천향대학교,수시,학생부교과,의예과,서류제출,2020-10-05T17:00:00,2020-10-05T17:00:00
순천향대학교,수시,학생부교과,의예과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
순천향대학교,수시,학생부교과,의예과,합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
순천향대학교,수시,학생부교과,의예과,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
순천향대학교,수시,학생부교과,의예과,충원 합격자 등록,2021-01-01T00:00:00,2020-01-05T16:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,자기소개서 입력,2020-09-23T00:00:00,2020-10-05T17:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,서류제출,2020-10-05T17:00:00,2020-10-05T17:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,1단계 합격자 발표,2020-11-25T17:00:00,2020-11-25T17:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,면접,2020-12-06T00:00:00,2020-12-06T00:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
순천향대학교,수시,"학생부종합(일반, 지역인재)",의예과,충원 합격자 등록,2021-01-01T00:00:00,2020-01-05T16:00:00
순천향대학교,수시,학생부종합(정원외),의예과,원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
순천향대학교,수시,학생부종합(정원외),의예과,자기소개서 입력,2020-09-23T00:00:00,2020-10-05T17:00:00
순천향대학교,수시,학생부종합(정원외),의예과,서류제출,2020-10-05T17:00:00,2020-10-05T17:00:00
순천향대학교,수시,학생부종합(정원외),의예과,1단계 합격자 발표,2020-11-25T17:00:00,2020-11-25T17:00:00
순천향대학교,수시,학생부종합(정원외),의예과,면접,2020-12-20T00:00:00,2020-12-20T00:00:00
순천향대학교,수시,학생부종합(정원외),의예과,합격자 발표,2020-12-27T17:00:00,2020-12-27T17:00:00
순천향대학교,수시,학생부종합(정원외),의예과,합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
순천향대학교,수시,학생부종합(정원외),의예과,충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
순천향대학교,수시,학생부종합(정원외),의예과,충원 합격자 등록,2021-01-01T00:00:00,2020-01-05T16:00:00
