univ,sj,jh,major,description,start_date,end_date
숭실대학교,수시,학생부교과전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,학생부교과전형,전 학과,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,학생부교과전형,전 학과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
숭실대학교,수시,논술전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,논술전형,전 학과,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,논술전형,전 학과,논술고사,2020-12-04T00:00:00,2020-12-05T00:00:00
숭실대학교,수시,논술전형,전 학과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
숭실대학교,수시,학생부종합전형 (SSU미래인재),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,학생부종합전형 (SSU미래인재),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T18:00:00
숭실대학교,수시,학생부종합전형 (SSU미래인재),전 학과,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,학생부종합전형 (SSU미래인재),전 학과,1단계 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
숭실대학교,수시,학생부종합전형 (SSU미래인재),전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
숭실대학교,수시,학생부종합전형 (SSU미래인재),전 학과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
숭실대학교,수시,학생부종합전형 (고른기회),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,학생부종합전형 (고른기회),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T18:00:00
숭실대학교,수시,학생부종합전형 (고른기회),전 학과,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,학생부종합전형 (고른기회),전 학과,1단계 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
숭실대학교,수시,학생부종합전형 (고른기회),전 학과,면접고사,2020-12-19T00:00:00,2020-12-19T00:00:00
숭실대학교,수시,학생부종합전형 (고른기회),전 학과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
숭실대학교,수시,학생부종합전형 (특성화고),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,학생부종합전형 (특성화고),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T18:00:00
숭실대학교,수시,학생부종합전형 (특성화고),전 학과,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,학생부종합전형 (특성화고),전 학과,1단계 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
숭실대학교,수시,학생부종합전형 (특성화고),전 학과,면접고사,2020-12-13T00:00:00,2020-12-13T00:00:00
숭실대학교,수시,학생부종합전형 (특성화고),전 학과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
숭실대학교,수시,학생부종합전형 (정원외),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,학생부종합전형 (정원외),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T18:00:00
숭실대학교,수시,학생부종합전형 (정원외),전 학과,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,학생부종합전형 (정원외),전 학과,1단계 합격자 발표,2020-12-08T00:00:00,2020-12-08T00:00:00
숭실대학교,수시,학생부종합전형 (정원외),전 학과,면접고사,2020-12-19T00:00:00,2020-12-19T00:00:00
숭실대학교,수시,학생부종합전형 (정원외),전 학과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
숭실대학교,수시,실기전형 (SW특기자),전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,실기전형 (SW특기자),전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T18:00:00
숭실대학교,수시,실기전형 (SW특기자),전 학과,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,실기전형 (SW특기자),전 학과,1단계 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
숭실대학교,수시,실기전형 (SW특기자),전 학과,면접고사,2020-11-14T00:00:00,2020-11-14T00:00:00
숭실대학교,수시,실기전형 (SW특기자),전 학과,합격자 발표,2020-11-23T00:00:00,2020-11-23T00:00:00
숭실대학교,수시,실기전형 (예체능),연기,원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,실기전형 (예체능),연기,서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,실기전형 (예체능),연기,1단계 실기고사,2020-10-27T00:00:00,2020-10-30T00:00:00
숭실대학교,수시,실기전형 (예체능),연기,1단계 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
숭실대학교,수시,실기전형 (예체능),연기,2단계 실기고사,2020-11-10T00:00:00,2020-11-11T00:00:00
숭실대학교,수시,실기전형 (예체능),연기,합격자 발표,2020-11-23T00:00:00,2020-11-23T00:00:00
숭실대학교,수시,실기전형 (예체능),"체육, 축구",원서접수,2020-09-24T10:00:00,2020-09-28T18:00:00
숭실대학교,수시,실기전형 (예체능),"체육, 축구",서류제출,2020-09-24T10:00:00,2020-10-07T17:00:00
숭실대학교,수시,실기전형 (예체능),"체육, 축구",실기고사,2020-10-17T00:00:00,2020-10-17T00:00:00
숭실대학교,수시,실기전형 (예체능),"체육, 축구",합격자 발표,2020-11-23T00:00:00,2020-11-23T00:00:00
