university,sj,jh,major,description,start_date,end_date
연세대학교 원주캠퍼스,수시,교과우수자전형,의예과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
연세대학교 원주캠퍼스,수시,학교생활우수자전형,의예과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
연세대학교 원주캠퍼스,수시,강원인재전형,의예과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
연세대학교 원주캠퍼스,수시,기회균형전형,의예과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
연세대학교 원주캠퍼스,수시,일반논술전형,의예과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
연세대학교 원주캠퍼스,수시,기초생활연세한마음전형,의예과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
연세대학교 원주캠퍼스,수시,농어촌전형,의예과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
연세대학교 원주캠퍼스,수시,학교생활우수자전형,의예과,자기소개서 입력,2020-09-23T10:00:00,2020-09-28T22:00:00
연세대학교 원주캠퍼스,수시,강원인재전형,의예과,자기소개서 입력,2020-09-23T10:00:00,2020-09-28T22:00:00
연세대학교 원주캠퍼스,수시,기회균형전형,의예과,자기소개서 입력,2020-09-23T10:00:00,2020-09-28T22:00:00
연세대학교 원주캠퍼스,수시,기초생활연세한마음전형,의예과,자기소개서 입력,2020-09-23T10:00:00,2020-09-28T22:00:00
연세대학교 원주캠퍼스,수시,농어촌전형,의예과,자기소개서 입력,2020-09-23T10:00:00,2020-09-28T22:00:00
연세대학교 원주캠퍼스,수시,교과우수자전형,의예과,서류제출,2020-09-23T10:00:00,2020-09-28T21:00:00
연세대학교 원주캠퍼스,수시,학교생활우수자전형,의예과,서류제출,2020-09-23T10:00:00,2020-09-28T21:00:00
연세대학교 원주캠퍼스,수시,강원인재전형,의예과,서류제출,2020-09-23T10:00:00,2020-09-28T21:00:00
연세대학교 원주캠퍼스,수시,기회균형전형,의예과,서류제출,2020-09-23T10:00:00,2020-09-28T21:00:00
연세대학교 원주캠퍼스,수시,일반논술전형,의예과,서류제출,2020-09-23T10:00:00,2020-09-28T21:00:00
연세대학교 원주캠퍼스,수시,기초생활연세한마음전형,의예과,서류제출,2020-09-23T10:00:00,2020-09-28T21:00:00
연세대학교 원주캠퍼스,수시,농어촌전형,의예과,서류제출,2020-09-23T10:00:00,2020-09-28T21:00:00
연세대학교 원주캠퍼스,수시,교과우수자전형,의예과,면접 대상자 발표,2020-10-12T17:00:00,2020-10-12T17:00:00
연세대학교 원주캠퍼스,수시,학교생활우수자전형,의예과,면접 대상자 발표,2020-11-16T17:00:00,2020-11-16T17:00:00
연세대학교 원주캠퍼스,수시,강원인재전형,의예과,면접 대상자 발표,2020-11-02T17:00:00,2020-11-02T17:00:00
연세대학교 원주캠퍼스,수시,기회균형전형,의예과,면접 대상자 발표,2020-11-02T17:00:00,2020-11-02T17:00:00
연세대학교 원주캠퍼스,수시,기초생활연세한마음전형,의예과,면접 대상자 발표,2020-11-02T17:00:00,2020-11-02T17:00:00
연세대학교 원주캠퍼스,수시,농어촌전형,의예과,면접 대상자 발표,2020-11-02T17:00:00,2020-11-02T17:00:00
연세대학교 원주캠퍼스,수시,교과우수자전형,의예과,면접시험,2020-10-17T00:00:00,2020-10-17T00:00:00
연세대학교 원주캠퍼스,수시,학교생활우수자전형,의예과,면접시험,2020-11-21T00:00:00,2020-11-21T00:00:00
연세대학교 원주캠퍼스,수시,강원인재전형,의예과,면접시험,2020-11-07T00:00:00,2020-11-07T00:00:00
연세대학교 원주캠퍼스,수시,기회균형전형,의예과,면접시험,2020-11-07T00:00:00,2020-11-07T00:00:00
연세대학교 원주캠퍼스,수시,기초생활연세한마음전형,의예과,면접시험,2020-11-07T00:00:00,2020-11-07T00:00:00
연세대학교 원주캠퍼스,수시,농어촌전형,의예과,면접시험,2020-11-07T00:00:00,2020-11-07T00:00:00
연세대학교 원주캠퍼스,수시,일반논술전형,의예과,논술시험 고사장 확인,2020-12-07T17:00:00,2020-12-07T17:00:00
