univ,sj,jh,major,description,start_date,end_date
연세대학교,수시,학생부종합전형 (면접형),전 학과,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,자기소개서 입력,2020-09-23T10:00:00,2020-09-26T17:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,1단계 합격자 발표,2020-11-09T00:00:00,2020-11-09T00:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,2단계 시험,2020-11-14T00:00:00,2020-11-14T00:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,합격자 발표,2020-12-27T18:00:00,2020-12-27T18:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,합격자 등록,2020-12-28T14:00:00,2020-12-30T16:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,1차 추가 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,1차 추가 합격자 등록,2020-12-31T10:00:00,2021-01-01T16:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,2차 추가 합격자 발표,2021-01-02T10:00:00,2021-01-02T10:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,2차 추가 합격자 등록,2021-01-02T10:00:00,2021-01-04T12:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,3차 추가 합격자 발표,2021-01-04T16:00:00,2021-01-04T16:00:00
연세대학교,수시,학생부종합전형 (면접형),전 학과,3차 추가 합격자 등록,2021-01-04T16:00:00,2021-01-05T16:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,원서접수,2020-09-23T10:00:00,2020-09-25T17:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,자기소개서 입력,2020-09-23T10:00:00,2020-09-26T17:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,교사추천서 입력,2020-09-23T10:00:00,2020-09-26T17:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,1단계 합격자 발표,2020-12-07T00:00:00,2020-12-07T00:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,2단계 시험,2020-12-19T00:00:00,2020-12-19T00:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,합격자 발표,2020-12-27T18:00:00,2020-12-27T18:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,합격자 등록,2020-12-28T14:00:00,2020-12-30T16:00:00
연세대학교,수시,학생부종합전형 (활동우수형),인문계,1차 추가 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
