univ,sj,jh,major,description,start_date,end_date
영남대학교,수시,"학생부교과(일반, 지역인재)",의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
영남대학교,수시,"학생부교과(일반, 지역인재)",의과대학,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
영남대학교,수시,"학생부교과(일반, 지역인재)",의과대학,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
영남대학교,수시,"학생부교과(일반, 지역인재)",의과대학,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
영남대학교,수시,"학생부교과(일반, 지역인재)",의과대학,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
영남대학교,수시,학생부교과(창의인재),의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
영남대학교,수시,학생부교과(창의인재),의과대학,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
영남대학교,수시,학생부교과(창의인재),의과대학,1단계 합격자 발표,2020-11-03T15:00:00,2020-11-03T15:00:00
영남대학교,수시,학생부교과(창의인재),의과대학,면접,2020-11-04T00:00:00,2020-11-07T00:00:00
영남대학교,수시,학생부교과(창의인재),의과대학,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
영남대학교,수시,학생부교과(창의인재),의과대학,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
영남대학교,수시,학생부교과(창의인재),의과대학,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
