univ,sj,jh,major,description,start_date,end_date
우석대학교,수시,학생부교과,한의예과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
우석대학교,수시,학생부교과,한의예과,서류제출,2020-10-07T18:00:00,2020-10-07T18:00:00
우석대학교,수시,학생부교과,한의예과,합격자 발표,2020-12-25T15:00:00,2020-12-25T15:00:00
우석대학교,수시,학생부교과,한의예과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
우석대학교,수시,학생부교과,한의예과,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
우석대학교,수시,학생부교과,한의예과,충원 합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
우석대학교,수시,학생부종합,한의예과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
우석대학교,수시,학생부종합,한의예과,자기소개서 제출,2020-09-29T15:00:00,2020-09-29T15:00:00
우석대학교,수시,학생부종합,한의예과,서류제출,2020-10-07T18:00:00,2020-10-07T18:00:00
우석대학교,수시,학생부종합,한의예과,1단계 합격자 발표,2020-10-30T15:00:00,2020-10-30T15:00:00
우석대학교,수시,학생부종합,한의예과,면접,2020-11-06T00:00:00,2020-11-08T00:00:00
우석대학교,수시,학생부종합,한의예과,합격자 발표,2020-11-20T15:00:00,2020-11-20T15:00:00
우석대학교,수시,학생부종합,한의예과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
우석대학교,수시,학생부종합,한의예과,충원 합격자 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
우석대학교,수시,학생부종합,한의예과,충원 합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
