university,sj,jh,major,description,start_date,end_date
울산대학교,수시,학생부종합면접전형,의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
울산대학교,수시,지역인재전형,의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
울산대학교,수시,논술전형,의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
울산대학교,수시,학생부종합면접전형,의과대학,서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
울산대학교,수시,지역인재전형,의과대학,서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
울산대학교,수시,논술전형,의과대학,서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
울산대학교,수시,학생부종합면접전형,의과대학,1단계 합격자발표,2020-12-04T16:00:00,2020-12-04T16:00:00
울산대학교,수시,지역인재전형,의과대학,1단계 합격자발표,2020-12-04T16:00:00,2020-12-04T16:00:00
울산대학교,수시,논술전형,의과대학,논술고사,2020-12-05T09:00:00,2020-12-05T09:00:00
울산대학교,수시,학생부종합면접전형,의과대학,면접고사,2020-12-19T09:00:00,2020-12-19T09:00:00
울산대학교,수시,지역인재전형,의과대학,면접고사,2020-12-12T09:00:00,2020-12-12T09:00:00
울산대학교,수시,논술전형,의과대학,최초합격자 발표,2020-12-26T16:00:00,2020-12-26T16:00:00
울산대학교,수시,학생부종합면접전형,의과대학,최초합격자 발표,2020-12-26T16:00:00,2020-12-26T16:00:00
울산대학교,수시,지역인재전형,의과대학,최초합격자 발표,2020-12-26T16:00:00,2020-12-26T16:00:00
울산대학교,수시,논술전형,의과대학,최초합격자 가등록,2020-12-28T00:00:00,2020-12-30T15:00:00
울산대학교,수시,학생부종합면접전형,의과대학,최초합격자 가등록,2020-12-28T00:00:00,2020-12-30T15:00:00
울산대학교,수시,지역인재전형,의과대학,최초합격자 가등록,2020-12-28T00:00:00,2020-12-30T15:00:00
울산대학교,수시,논술전형,의과대학,1차 충원합격자 발표 및 등록,2020-12-30T20:00:00,2020-12-30T20:00:00
울산대학교,수시,학생부종합면접전형,의과대학,1차 충원합격자 발표 및 등록,2020-12-30T20:00:00,2020-12-30T20:00:00
울산대학교,수시,지역인재전형,의과대학,1차 충원합격자 발표 및 등록,2020-12-30T20:00:00,2020-12-31T15:00:00
울산대학교,수시,논술전형,의과대학,2차 충원합격자 발표 및 등록,2020-12-31T20:00:00,2021-01-02T11:00:00
울산대학교,수시,학생부종합면접전형,의과대학,2차 충원합격자 발표 및 등록,2020-12-31T20:00:00,2021-01-02T11:00:00
울산대학교,수시,지역인재전형,의과대학,2차 충원합격자 발표 및 등록,2020-12-31T20:00:00,2021-01-02T11:00:00
울산대학교,수시,논술전형,의과대학,3차 충원합격자 발표 및 등록,2021-01-02T14:00:00,2021-01-03T11:00:00
울산대학교,수시,학생부종합면접전형,의과대학,3차 충원합격자 발표 및 등록,2021-01-02T14:00:00,2021-01-03T11:00:00
울산대학교,수시,지역인재전형,의과대학,3차 충원합격자 발표 및 등록,2021-01-02T14:00:00,2021-01-03T11:00:00
울산대학교,수시,논술전형,의과대학,4차 충원합격자 발표 및 등록,2021-01-03T14:00:00,2021-01-04T11:00:00
울산대학교,수시,학생부종합면접전형,의과대학,4차 충원합격자 발표 및 등록,2021-01-03T14:00:00,2021-01-04T11:00:00
울산대학교,수시,지역인재전형,의과대학,4차 충원합격자 발표 및 등록,2021-01-03T14:00:00,2021-01-04T11:00:00
울산대학교,수시,논술전형,의과대학,5차 충원합격자 발표 및 등록,2021-01-04T21:00:00,2021-01-05T15:00:00
울산대학교,수시,학생부종합면접전형,의과대학,5차 충원합격자 발표 및 등록,2021-01-04T21:00:00,2021-01-05T15:00:00
울산대학교,수시,지역인재전형,의과대학,5차 충원합격자 발표 및 등록,2021-01-04T21:00:00,2021-01-05T15:00:00
울산대학교,수시,논술전형,의과대학,최종 등록,2021-02-08T00:00:00,2021-02-10T16:00:00
울산대학교,수시,학생부종합면접전형,의과대학,최종 등록,2021-02-08T00:00:00,2021-02-10T16:00:00
울산대학교,수시,지역인재전형,의과대학,최종 등록,2021-02-08T00:00:00,2021-02-10T16:00:00
