university,sj,jh,major,description,start_date,end_date
원광대학교,수시,학생부종합전형,"의과대학,치과대학",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
원광대학교,수시,지역인재전형,"의과대학,치과대학",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
원광대학교,수시,기회균등전형,"의과대학,치과대학",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
원광대학교,수시,농어촌전형,"의과대학,치과대학",원서접수,2020-09-23T00:00:00,2020-09-28T18:00:00
원광대학교,수시,학생부종합전형,"의과대학,치과대학",서류제출,2020-10-06T17:00:00,2020-10-06T17:00:00
원광대학교,수시,지역인재전형,"의과대학,치과대학",서류제출,2020-10-06T17:00:00,2020-10-06T17:00:00
원광대학교,수시,기회균등전형,"의과대학,치과대학",서류제출,2020-10-06T17:00:00,2020-10-06T17:00:00
원광대학교,수시,농어촌전형,"의과대학,치과대학",서류제출,2020-10-06T17:00:00,2020-10-06T17:00:00
원광대학교,수시,학생부종합전형,"의과대학,치과대학",1단계 합격자 발표,2020-12-04T10:00:00,2020-12-04T10:00:00
원광대학교,수시,지역인재전형,"의과대학,치과대학",학생부종합면접,2020-12-11T00:00:00,2020-12-11T00:00:00
원광대학교,수시,학생부종합전형,"의과대학,치과대학",학생부종합면접,2020-12-12T00:00:00,2020-12-12T00:00:00
원광대학교,수시,기회균등전형,"의과대학,치과대학",학생부종합면접,2020-12-12T00:00:00,2020-12-12T00:00:00
원광대학교,수시,농어촌전형,"의과대학,치과대학",학생부종합면접,2020-12-12T00:00:00,2020-12-12T00:00:00
원광대학교,수시,지역인재전형,"의과대학,치과대학",합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
원광대학교,수시,학생부종합전형,"의과대학,치과대학",합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
원광대학교,수시,기회균등전형,"의과대학,치과대학",합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
원광대학교,수시,농어촌전형,"의과대학,치과대학",합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
원광대학교,수시,지역인재전형,"의과대학,치과대학",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
원광대학교,수시,학생부종합전형,"의과대학,치과대학",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
원광대학교,수시,기회균등전형,"의과대학,치과대학",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
원광대학교,수시,농어촌전형,"의과대학,치과대학",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
원광대학교,수시,지역인재전형,"의과대학,치과대학",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
원광대학교,수시,학생부종합전형,"의과대학,치과대학",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
원광대학교,수시,기회균등전형,"의과대학,치과대학",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
원광대학교,수시,농어촌전형,"의과대학,치과대학",충원 합격자 발표,2020-12-31T00:00:00,2021-01-04T21:00:00
원광대학교,수시,지역인재전형,"의과대학,치과대학",최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
원광대학교,수시,학생부종합전형,"의과대학,치과대학",최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
원광대학교,수시,기회균등전형,"의과대학,치과대학",최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
원광대학교,수시,농어촌전형,"의과대학,치과대학",최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
