university,sj,jh,major,description,start_date,end_date
육군사관학교,수시,우선선발,전 학과,지원서 접수,2020-07-10T09:00:00,2020-07-20T17:00:00
육군사관학교,수시,우선선발,전 학과,고교 학교장 추천 공문 제출,2020-07-13T00:00:00,2020-08-12T00:00:00
육군사관학교,수시,우선선발,전 학과,"1차 시험(국,영,수)",2020-08-15T00:00:00,2020-08-15T00:00:00
육군사관학교,수시,우선선발,전 학과,성적확인,2020-08-21T09:00:00,2020-08-25T12:00:00
육군사관학교,수시,우선선발,전 학과,합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
육군사관학교,수시,우선선발,전 학과,고교 교사추천서 제출,2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,우선선발,전 학과,2차 시험 서류 제출(1차 시험 합격자만),2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,우선선발,전 학과,한국사능력검정시험 성적 제출,2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,우선선발,전 학과,2차 시험,2020-09-17T00:00:00,2020-10-29T00:00:00
육군사관학교,수시,우선선발,전 학과,합격자 발표,2020-11-27T09:00:00,2020-11-27T09:00:00
육군사관학교,수시,우선선발,전 학과,합격자 입학서약서 접수,2020-11-27T09:00:00,2020-12-02T17:00:00
육군사관학교,수시,우선선발,전 학과,1차 추가합격자 발표,2021-01-08T09:00:00,2021-01-08T09:00:00
육군사관학교,수시,우선선발,전 학과,2차 추가합격자 발표,2021-01-15T09:00:00,2021-01-15T09:00:00
육군사관학교,수시,특별전형,전 학과,지원서 접수,2020-07-10T09:00:00,2020-07-20T17:00:00
육군사관학교,수시,특별전형,전 학과,고교 학교장 추천 공문 제출,2020-07-13T00:00:00,2020-08-12T00:00:00
육군사관학교,수시,특별전형,전 학과,"1차 시험(국,영,수)",2020-08-15T00:00:00,2020-08-15T00:00:00
육군사관학교,수시,특별전형,전 학과,성적확인,2020-08-21T09:00:00,2020-08-25T12:00:00
육군사관학교,수시,특별전형,전 학과,합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
육군사관학교,수시,특별전형,전 학과,고교 교사추천서 제출,2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,특별전형,전 학과,2차 시험 서류 제출(1차 시험 합격자만),2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,특별전형,전 학과,한국사능력검정시험 성적 제출,2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,특별전형,전 학과,2차 시험,2020-09-17T00:00:00,2020-10-29T00:00:00
육군사관학교,수시,특별전형,전 학과,합격자 발표,2020-11-27T09:00:00,2020-11-27T09:00:00
육군사관학교,수시,특별전형,전 학과,합격자 입학서약서 접수,2020-11-27T09:00:00,2020-12-02T17:00:00
육군사관학교,수시,특별전형,전 학과,1차 추가합격자 발표,2021-01-08T09:00:00,2021-01-08T09:00:00
육군사관학교,수시,특별전형,전 학과,2차 추가합격자 발표,2021-01-15T09:00:00,2021-01-15T09:00:00
육군사관학교,수시,종합선발,전 학과,지원서 접수,2020-07-10T09:00:00,2020-07-20T17:00:00
육군사관학교,수시,종합선발,전 학과,고교 학교장 추천 공문 제출,2020-07-13T00:00:00,2020-08-12T00:00:00
육군사관학교,수시,종합선발,전 학과,"1차 시험(국,영,수)",2020-08-15T00:00:00,2020-08-15T00:00:00
육군사관학교,수시,종합선발,전 학과,성적확인,2020-08-21T09:00:00,2020-08-25T12:00:00
육군사관학교,수시,종합선발,전 학과,합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
육군사관학교,수시,종합선발,전 학과,고교 교사추천서 제출,2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,종합선발,전 학과,2차 시험 서류 제출(1차 시험 합격자만),2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,종합선발,전 학과,한국사능력검정시험 성적 제출,2020-09-01T00:00:00,2020-09-07T00:00:00
육군사관학교,수시,종합선발,전 학과,2차 시험,2020-09-17T00:00:00,2020-10-29T00:00:00
육군사관학교,수시,종합선발,전 학과,합격자 발표,2020-12-31T09:00:00,2020-12-31T09:00:00
육군사관학교,수시,종합선발,전 학과,합격자 입학서약서 접수,2020-12-31T09:00:00,2021-01-06T17:00:00
육군사관학교,수시,종합선발,전 학과,1차 추가합격자 발표,2021-01-08T09:00:00,2021-01-08T09:00:00
육군사관학교,수시,종합선발,전 학과,2차 추가합격자 발표,2021-01-15T09:00:00,2021-01-15T09:00:00
