university,sj,jh,major,description,start_date,end_date
이화여자대학교,수시,학생부교과(고교추천전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,학생부종합(미래인재전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,학생부종합(고른기회전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,학생부종합(사회기여자전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,논술(논술전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),한국음악과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),무용과,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,인터넷 원서 접수,2020-09-23T10:00:00,2020-09-28T18:00:00
이화여자대학교,수시,학생부종합(미래인재전형),전 학과,자기소개서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,학생부종합(고른기회전형),전 학과,자기소개서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,학생부종합(사회기여자전형),전 학과,자기소개서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,활동보고서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,활동보고서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,활동보고서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,활동보고서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,활동보고서 인터넷 입력,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,추천서 인터넷 입력,2020-09-23T10:00:00,2020-10-05T17:00:00
이화여자대학교,수시,학생부교과(고교추천전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,학생부종합(미래인재전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,학생부종합(고른기회전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,학생부종합(사회기여자전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,논술(논술전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),한국음악과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),무용과,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,서류제출,2020-09-23T10:00:00,2020-09-29T17:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,면접/실기고사 대상자발표,2020-11-16T00:00:00,2020-11-16T00:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,면접/실기고사 대상자발표,2020-11-16T00:00:00,2020-11-16T00:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,면접/실기고사 대상자발표,2020-11-16T00:00:00,2020-11-16T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),한국음악과,면접/실기고사 대상자발표,2020-10-19T00:00:00,2020-10-19T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),무용과,면접/실기고사 대상자발표,2020-10-19T00:00:00,2020-10-19T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,면접/실기고사 대상자발표,2020-11-16T00:00:00,2020-11-16T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,면접/실기고사 대상자발표,2020-11-16T00:00:00,2020-11-16T00:00:00
이화여자대학교,수시,학생부교과(고교추천전형),전 학과,면접,2020-11-14T00:00:00,2020-11-15T00:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,면접,2020-11-22T00:00:00,2020-11-22T00:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,면접,2020-11-22T00:00:00,2020-11-22T00:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,면접,2020-11-22T00:00:00,2020-11-22T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,면접,2020-11-21T00:00:00,2020-11-21T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,면접,2020-11-21T00:00:00,2020-11-21T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),한국음악과,실기고사,2020-10-23T00:00:00,2020-10-25T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),무용과,실기고사,2020-10-24T00:00:00,2020-10-24T00:00:00
이화여자대학교,수시,논술(논술전형),전 학과,논술고사,2020-12-13T00:00:00,2020-12-13T00:00:00
이화여자대학교,수시,학생부교과(고교추천전형),전 학과,합격자/장학생 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
이화여자대학교,수시,학생부종합(미래인재전형),전 학과,합격자/장학생 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
이화여자대학교,수시,학생부종합(고른기회전형),전 학과,합격자/장학생 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
이화여자대학교,수시,학생부종합(사회기여자전형),전 학과,합격자/장학생 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
이화여자대학교,수시,논술(논술전형),전 학과,합격자/장학생 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,합격자/장학생 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,합격자/장학생 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,합격자/장학생 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),한국음악과,합격자/장학생 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),무용과,합격자/장학생 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,합격자/장학생 발표,2020-12-04T00:00:00,2020-12-04T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,합격자/장학생 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
이화여자대학교,수시,학생부교과(고교추천전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,학생부종합(미래인재전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,학생부종합(고른기회전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,학생부종합(사회기여자전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,논술(논술전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),한국음악과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),무용과,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,등록 확인 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
이화여자대학교,수시,학생부교과(고교추천전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,학생부종합(미래인재전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,학생부종합(고른기회전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,학생부종합(사회기여자전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,논술(논술전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,실기/실적(어학특기자전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,실기/실적(과학특기자전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,실기/실적(국제학특기자전형),전 학과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),한국음악과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,실기/실적(예체능실기전형),무용과,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),조형예술대학,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
이화여자대학교,수시,실기/실적(예체능서류전형),체육과학부,미등록 충원 발표,2021-01-04T21:00:00,2021-01-04T21:00:00
