univ,sj,jh,major,description,start_date,end_date
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",1단계 합격자 발표,2020-11-26T00:00:00,2020-11-26T00:00:00
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",면접고사,2020-12-05T00:00:00,2020-12-05T00:00:00
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",최초합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,학생부종합(인하미래인재),"인문계, 예체능",추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,1단계 합격자 발표,2020-11-26T00:00:00,2020-11-26T00:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,면접고사,2020-12-06T00:00:00,2020-12-06T00:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,최초합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,학생부종합(인하미래인재),자연계,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과,학교장 추천 대상자 입력,2020-09-23T20:00:00,2020-10-06T17:00:00
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과,최초합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,"학생부종합(학교장추천, 서해5도)",전 학과,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,"학생부종합(고른기회, 농어촌, 평생학습자, 특성화고)",전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,"학생부종합(고른기회, 농어촌, 평생학습자, 특성화고)",전 학과,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,"학생부종합(고른기회, 농어촌, 평생학습자, 특성화고)",전 학과,최초합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
인하대학교,수시,"학생부종합(고른기회, 농어촌, 평생학습자, 특성화고)",전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,"학생부종합(고른기회, 농어촌, 평생학습자, 특성화고)",전 학과,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,"학생부종합(고른기회, 농어촌, 평생학습자, 특성화고)",전 학과,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,학생부교과,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,학생부교과,전 학과,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,학생부교과,전 학과,최초합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
인하대학교,수시,학생부교과,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,학생부교과,전 학과,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,학생부교과,전 학과,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,논술우수자,인문계,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,논술우수자,인문계,논술고사 유의사항 공지,2020-11-26T00:00:00,2020-11-26T00:00:00
인하대학교,수시,논술우수자,인문계,논술고사,2020-12-19T00:00:00,2020-12-19T00:00:00
인하대학교,수시,논술우수자,인문계,최초합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
인하대학교,수시,논술우수자,인문계,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,논술우수자,인문계,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,논술우수자,인문계,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,논술우수자,자연계,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,논술우수자,자연계,논술고사 유의사항 공지,2020-11-26T00:00:00,2020-11-26T00:00:00
인하대학교,수시,논술우수자,자연계,논술고사,2020-12-20T00:00:00,2020-12-20T00:00:00
인하대학교,수시,논술우수자,자연계,최초합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
인하대학교,수시,논술우수자,자연계,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,논술우수자,자연계,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,논술우수자,자연계,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),실기고사 유의사항 공지,2020-10-15T00:00:00,2020-10-15T00:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),실기고사,2020-10-18T00:00:00,2020-10-18T00:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),최초합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,실기우수자,조형예술학과(인물소묘),추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,실기우수자,디자인융합학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,실기우수자,디자인융합학과,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,실기우수자,디자인융합학과,실기고사 유의사항 공지,2020-10-15T00:00:00,2020-10-15T00:00:00
인하대학교,수시,실기우수자,디자인융합학과,실기고사,2020-10-25T00:00:00,2020-10-25T00:00:00
인하대학교,수시,실기우수자,디자인융합학과,최초합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
인하대학교,수시,실기우수자,디자인융합학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,실기우수자,디자인융합학과,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,실기우수자,디자인융합학과,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),실기고사 유의사항 공지,2020-10-15T00:00:00,2020-10-15T00:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),실기고사,2020-10-30T00:00:00,2020-11-01T00:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),최초합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,실기우수자,연극영화학과(연기),추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),실기고사 유의사항 공지,2020-10-15T00:00:00,2020-10-15T00:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),실기고사,2020-10-17T00:00:00,2020-10-17T00:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),최초합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,실기우수자,연극영화학과(이론연출),추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),실기고사 유의사항 공지,2020-10-15T00:00:00,2020-10-15T00:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),실기고사,2020-10-24T00:00:00,2020-10-24T00:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),최초합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,실기우수자,의류디자인학과(실기),추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
인하대학교,수시,실기우수자,체육특기자,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
인하대학교,수시,실기우수자,체육특기자,서류제출,2020-09-23T09:00:00,2020-10-06T17:00:00
인하대학교,수시,실기우수자,체육특기자,최초합격자 발표,2020-11-13T00:00:00,2020-11-13T00:00:00
인하대학교,수시,실기우수자,체육특기자,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
인하대학교,수시,실기우수자,체육특기자,추가합격자 통보,2020-12-30T00:00:00,2021-01-04T00:00:00
인하대학교,수시,실기우수자,체육특기자,추가합격자 등록,2021-01-05T00:00:00,2021-01-05T00:00:00
