university,sj,jh,major,description,start_date,end_date
전남대학교,수시,학생부교과(일반전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(예능우수자전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(지역인재전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(국가보훈대상자전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(다문화/다자녀등전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(만학도전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(특성화고졸재직자전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(특수교육대상자전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(기초생활수급자/차상위계층/한부모가족전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(농어촌학생전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(특성화고교졸업자전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부종합(지역인재전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부종합(고교생활우수자전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부종합(후계농업경영인전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부종합(조기취업형계약학과전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,실기/실적(예능우수자전형),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전남대학교,수시,학생부교과(일반전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(예능우수자전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(지역인재전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(국가보훈대상자전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(다문화/다자녀등전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(만학도전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(특성화고졸재직자전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(특수교육대상자전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(기초생활수급자/차상위계층/한부모가족전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(농어촌학생전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(특성화고교졸업자전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부종합(지역인재전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부종합(고교생활우수자전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부종합(후계농업경영인전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부종합(조기취업형계약학과전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,실기/실적(예능우수자전형),전 학과,서류 제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전남대학교,수시,학생부교과(예능우수자전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(지역인재전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(국가보훈대상자전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(다문화/다자녀등전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(만학도전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(특성화고졸재직자전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(특수교육대상자전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(기초생활수급자/차상위계층/한부모가족전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(농어촌학생전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부교과(특성화고교졸업자전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부종합(지역인재전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부종합(고교생활우수자전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
전남대학교,수시,학생부종합(후계농업경영인전형),전 학과,1단계 합격자 발표,2020-11-20T16:00:00,2020-11-20T16:00:00
