univ,sj,jh,major,description,start_date,end_date
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",서류제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",1단계 합격자 발표,2020-11-24T14:00:00,2020-11-24T14:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",면접 반편성 공지,2020-12-04T11:00:00,2020-12-04T11:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",면접 예비소집,2020-12-07T00:00:00,2020-12-07T00:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",면접,2020-12-07T00:00:00,2020-12-07T00:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",최초 합격자 발표,2020-12-27T14:00:00,2020-12-27T14:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",최초 합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",1차 충원 합격자 발표,2020-12-31T14:00:00,2020-12-31T14:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",1차 충원 합격자 등록,2021-01-01T16:00:00,2021-01-01T16:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",2차 충원 합격자 발표,2021-01-02T14:00:00,2021-01-02T14:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",2차 충원 합격자 등록,2021-01-03T16:00:00,2021-01-03T16:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",3차 충원 합격자 발표,2021-01-04T10:00:00,2021-01-04T21:00:00
전북대학교,수시,학생부종합전형,"의과대학, 치과대학, 수의과대학",3차 충원 합격자 등록,2021-01-05T09:00:00,2021-01-05T16:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",서류제출,2020-09-23T09:00:00,2020-09-29T18:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",최초 합격자 발표,2020-12-27T14:00:00,2020-12-27T14:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",최초 합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",1차 충원 합격자 발표,2020-12-31T14:00:00,2020-12-31T14:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",1차 충원 합격자 등록,2021-01-01T16:00:00,2021-01-01T16:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",2차 충원 합격자 발표,2021-01-02T14:00:00,2021-01-02T14:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",2차 충원 합격자 등록,2021-01-03T16:00:00,2021-01-03T16:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",3차 충원 합격자 발표,2021-01-04T10:00:00,2021-01-04T21:00:00
전북대학교,수시,학생부교과전형,"의과대학, 치과대학, 수의과대학",3차 충원 합격자 등록,2021-01-05T09:00:00,2021-01-05T16:00:00
