university,sj,jh,major,description,start_date,end_date
전주교육대학교,수시,교과전형,전 학과,입학원서 및 자기소개서 접수,2020-09-24T09:00:00,2020-09-28T17:00:00
전주교육대학교,수시,교과전형,전 학과,서류제출(해당자에 한함),2020-09-24T00:00:00,2020-10-07T00:00:00
전주교육대학교,수시,교과전형,전 학과,1단계 합격자 발표,2020-11-13T10:00:00,2020-11-13T10:00:00
전주교육대학교,수시,교과전형,전 학과,예비소집,2020-12-05T09:30:00,2020-12-05T09:30:00
전주교육대학교,수시,교과전형,전 학과,면접고사,2020-12-05T10:00:00,2020-12-05T10:00:00
전주교육대학교,수시,교과전형,전 학과,최초합격자 발표,2020-12-24T13:00:00,2020-12-24T13:00:00
전주교육대학교,수시,교과전형,전 학과,최초합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-30T16:00:00
전주교육대학교,수시,교과전형,전 학과,1차 추가 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
전주교육대학교,수시,교과전형,전 학과,1차 추가 합격자 등록,2020-12-31T10:00:00,2020-12-31T16:00:00
전주교육대학교,수시,교과전형,전 학과,미등록 충원 및 합격자 발표,2021-01-01T00:00:00,2021-01-04T21:00:00
전주교육대학교,수시,교과전형,전 학과,최종 미등록 충원 합격자 등록,2021-01-01T00:00:00,2021-01-05T16:00:00
전주교육대학교,수시,교과전형,전 학과,등록금 차액 납부,2021-02-08T09:00:00,2021-02-10T16:00:00
전주교육대학교,수시,종합전형,전 학과,입학원서 및 자기소개서 접수,2020-09-24T09:00:00,2020-09-28T17:00:00
전주교육대학교,수시,종합전형,전 학과,서류제출(해당자에 한함),2020-09-24T00:00:00,2020-10-07T00:00:00
전주교육대학교,수시,종합전형,전 학과,1단계 합격자 발표,2020-11-13T10:00:00,2020-11-13T10:00:00
전주교육대학교,수시,종합전형,전 학과,예비소집,2020-12-05T13:00:00,2020-12-05T13:00:00
전주교육대학교,수시,종합전형,전 학과,면접고사,2020-12-05T13:30:00,2020-12-05T13:30:00
전주교육대학교,수시,종합전형,전 학과,최초합격자 발표,2020-12-24T13:00:00,2020-12-24T13:00:00
전주교육대학교,수시,종합전형,전 학과,최초합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-30T16:00:00
전주교육대학교,수시,종합전형,전 학과,1차 추가 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
전주교육대학교,수시,종합전형,전 학과,1차 추가 합격자 등록,2020-12-31T10:00:00,2020-12-31T16:00:00
전주교육대학교,수시,종합전형,전 학과,미등록 충원 및 합격자 발표,2021-01-01T00:00:00,2021-01-04T21:00:00
전주교육대학교,수시,종합전형,전 학과,최종 미등록 충원 합격자 등록,2021-01-01T00:00:00,2021-01-05T16:00:00
전주교육대학교,수시,종합전형,전 학과,등록금 차액 납부,2021-02-08T09:00:00,2021-02-10T16:00:00
