university,sj,jh,major,description,start_date,end_date
제주대학교,수시,학생부교과(일반학생전형),수의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
제주대학교,수시,학생부교과(일반학생전형),의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
제주대학교,수시,지역인재전형,수의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
제주대학교,수시,지역인재전형,의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
제주대학교,수시,학생부종합(일반학생전형),수의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
제주대학교,수시,농어촌학생전형,수의과대학,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
제주대학교,수시,학생부종합(일반학생전형),수의과대학,자기소개서 입력,2020-09-23T09:00:00,2020-10-07T18:00:00
제주대학교,수시,학생부교과(일반학생전형),수의과대학,서류 제출,2020-09-23T09:00:00,2020-10-07T18:00:00
제주대학교,수시,학생부교과(일반학생전형),의과대학,서류 제출,2020-09-23T09:00:00,2020-10-07T18:00:00
제주대학교,수시,지역인재전형,수의과대학,서류 제출,2020-09-23T09:00:00,2020-10-07T18:00:00
제주대학교,수시,지역인재전형,의과대학,서류 제출,2020-09-23T09:00:00,2020-10-07T18:00:00
제주대학교,수시,학생부종합(일반학생전형),수의과대학,서류 제출,2020-09-23T09:00:00,2020-10-07T18:00:00
제주대학교,수시,농어촌학생전형,수의과대학,서류 제출,2020-09-23T09:00:00,2020-10-07T18:00:00
제주대학교,수시,학생부교과(일반학생전형),수의과대학,1단계 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
제주대학교,수시,학생부교과(일반학생전형),의과대학,1단계 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
제주대학교,수시,지역인재전형,수의과대학,1단계 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
제주대학교,수시,지역인재전형,의과대학,1단계 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
제주대학교,수시,학생부종합(일반학생전형),수의과대학,1단계 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
제주대학교,수시,농어촌학생전형,수의과대학,1단계 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
제주대학교,수시,학생부교과(일반학생전형),의과대학,면접평가,2020-12-09T09:00:00,2020-12-09T09:00:00
제주대학교,수시,지역인재전형,의과대학,면접평가,2020-12-09T09:00:00,2020-12-09T09:00:00
제주대학교,수시,학생부종합(일반학생전형),수의과대학,면접평가,2020-12-11T00:00:00,2020-12-11T00:00:00
제주대학교,수시,학생부교과(일반학생전형),수의과대학,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
제주대학교,수시,학생부교과(일반학생전형),의과대학,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
제주대학교,수시,지역인재전형,수의과대학,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
제주대학교,수시,지역인재전형,의과대학,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
제주대학교,수시,학생부종합(일반학생전형),수의과대학,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
제주대학교,수시,농어촌학생전형,수의과대학,합격자 발표,2020-12-27T10:00:00,2020-12-27T10:00:00
