univ,sj,jh,major,description,start_date,end_date
조선대학교,수시,학생부교과,의예과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
조선대학교,수시,학생부교과,의예과,서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
조선대학교,수시,학생부교과,의예과,1단계 합격자 발표,2020-10-30T00:00:00,2020-10-30T00:00:00
조선대학교,수시,학생부교과,의예과,면접,2020-11-07T00:00:00,2020-11-07T00:00:00
조선대학교,수시,학생부교과,의예과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
조선대학교,수시,학생부교과,의예과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00,
조선대학교,수시,학생부교과,의예과,추가 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
조선대학교,수시,학생부교과,의예과,추가 합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
조선대학교,수시,학생부교과,치의예과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
조선대학교,수시,학생부교과,치의예과,서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
조선대학교,수시,학생부교과,치의예과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
조선대학교,수시,학생부교과,치의예과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00,
조선대학교,수시,학생부교과,치의예과,추가 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
조선대학교,수시,학생부교과,치의예과,추가 합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
조선대학교,수시,학생부종합,"의예과, 치의예과",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
조선대학교,수시,학생부종합,"의예과, 치의예과",서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
조선대학교,수시,학생부종합,"의예과, 치의예과",1단계 합격자 발표,2020-11-20T00:00:00,2020-11-20T00:00:00
조선대학교,수시,학생부종합,"의예과, 치의예과",면접,2020-12-05T00:00:00,2020-12-06T00:00:00
조선대학교,수시,학생부종합,"의예과, 치의예과",합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
조선대학교,수시,학생부종합,"의예과, 치의예과",합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00,
조선대학교,수시,학생부종합,"의예과, 치의예과",추가 합격자 발표,2020-12-31T00:00:00,2021-01-04T00:00:00
조선대학교,수시,학생부종합,"의예과, 치의예과",추가 합격자 등록,2020-12-31T00:00:00,2021-01-05T00:00:00
