university,sj,jh,major,description,start_date,end_date
중앙대학교,수시,학생부교과,전 학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,학교장추천,전 학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,학생부종합,전 학과,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,논술,자연,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,논술,인문,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,특기형,특기형(체육),원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,특기형,특기형(연기),원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,특기형,특기형(문학),원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,연극(연출/기획),원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,연극(연기/뮤지컬연기),원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,영화,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,공간연출,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,무용,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,문예창작,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,사진,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,미술학부,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,디자인학부,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,음악학부/전통예술학부,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,실기형,글로벌예술학부,원서접수,2020-09-23T10:00:00,2020-09-28T18:00:00
중앙대학교,수시,학생부교과,전 학과,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,학교장추천,전 학과,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,학생부종합,전 학과,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,논술,자연,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,논술,인문,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,특기형,특기형(체육),서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,특기형,특기형(연기),서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,특기형,특기형(문학),서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,실기형,연극(연출/기획),서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,실기형,연극(연기/뮤지컬연기),서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,실기형,영화,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,실기형,공간연출,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
중앙대학교,수시,실기형,무용,서류제출,2020-09-23T00:00:00,2020-10-05T00:00:00
