university,sj,jh,major,description,start_date,end_date
진주교육대학교,수시,21세기형교직적성자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T17:00:00
진주교육대학교,수시,지역인재전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T17:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T17:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T17:00:00
진주교육대학교,수시,농어촌전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T17:00:00
진주교육대학교,수시,기회균형전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T17:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T17:00:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-29T17:00:00
진주교육대학교,수시,지역인재전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-29T17:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-29T17:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-29T17:00:00
진주교육대학교,수시,농어촌전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-29T17:00:00
진주교육대학교,수시,기회균형전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-29T17:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,서류제출,2020-09-23T09:00:00,2020-09-29T17:00:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,1단계 합격자 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
진주교육대학교,수시,지역인재전형,전 학과,1단계 합격자 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,1단계 합격자 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,1단계 합격자 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
진주교육대학교,수시,농어촌전형,전 학과,1단계 합격자 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
진주교육대학교,수시,기회균형전형,전 학과,1단계 합격자 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,1단계 합격자 발표,2020-12-04T14:00:00,2020-12-04T14:00:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,2단계 심층면접,2020-12-13T08:30:00,2020-12-13T18:30:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,2단계 심층면접,2020-12-13T08:30:00,2020-12-13T18:30:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,2단계 심층면접,2020-12-13T08:30:00,2020-12-13T18:30:00
진주교육대학교,수시,농어촌전형,전 학과,2단계 심층면접,2020-12-13T08:30:00,2020-12-13T18:30:00
진주교육대학교,수시,기회균형전형,전 학과,2단계 심층면접,2020-12-12T08:30:00,2020-12-12T18:30:00
진주교육대학교,수시,특수교육대상자전형,전 학과,2단계 심층면접,2020-12-12T08:30:00,2020-12-12T18:30:00
진주교육대학교,수시,지역인재전형,전 학과,2단계 심층면접,2020-12-12T08:30:00,2020-12-12T18:30:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,최초합격자 발표,2020-12-26T11:00:00,2020-12-26T11:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,최초합격자 발표,2020-12-26T11:00:00,2020-12-26T11:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,최초합격자 발표,2020-12-26T11:00:00,2020-12-26T11:00:00
진주교육대학교,수시,농어촌전형,전 학과,최초합격자 발표,2020-12-26T11:00:00,2020-12-26T11:00:00
진주교육대학교,수시,기회균형전형,전 학과,최초합격자 발표,2020-12-26T11:00:00,2020-12-26T11:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,최초합격자 발표,2020-12-26T11:00:00,2020-12-26T11:00:00
진주교육대학교,수시,지역인재전형,전 학과,최초합격자 발표,2020-12-26T11:00:00,2020-12-26T11:00:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,최초합격자 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,최초합격자 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,최초합격자 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
진주교육대학교,수시,농어촌전형,전 학과,최초합격자 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
진주교육대학교,수시,기회균형전형,전 학과,최초합격자 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,최초합격자 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
진주교육대학교,수시,지역인재전형,전 학과,최초합격자 예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,추가 합격자 발표 ,2020-12-31T11:00:00,2021-01-04T21:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,추가 합격자 발표 ,2020-12-31T11:00:00,2021-01-04T21:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,추가 합격자 발표 ,2020-12-31T11:00:00,2021-01-04T21:00:00
진주교육대학교,수시,농어촌전형,전 학과,추가 합격자 발표 ,2020-12-31T11:00:00,2021-01-04T21:00:00
진주교육대학교,수시,기회균형전형,전 학과,추가 합격자 발표 ,2020-12-31T11:00:00,2021-01-04T21:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,추가 합격자 발표 ,2020-12-31T11:00:00,2021-01-04T21:00:00
진주교육대학교,수시,지역인재전형,전 학과,추가 합격자 발표 ,2020-12-31T11:00:00,2021-01-04T21:00:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,추가 합격자 등록,2020-12-31T11:00:00,2021-01-05T16:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,추가 합격자 등록,2020-12-31T11:00:00,2021-01-05T16:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,추가 합격자 등록,2020-12-31T11:00:00,2021-01-05T16:00:00
진주교육대학교,수시,농어촌전형,전 학과,추가 합격자 등록,2020-12-31T11:00:00,2021-01-05T16:00:00
진주교육대학교,수시,기회균형전형,전 학과,추가 합격자 등록,2020-12-31T11:00:00,2021-01-05T16:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,추가 합격자 등록,2020-12-31T11:00:00,2021-01-05T16:00:00
진주교육대학교,수시,지역인재전형,전 학과,추가 합격자 등록,2020-12-31T11:00:00,2021-01-05T16:00:00
진주교육대학교,수시,21세기형교직적성자전형,전 학과,최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
진주교육대학교,수시,국가보훈대상자전형,전 학과,최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
진주교육대학교,수시,다문화(탈북)전형,전 학과,최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
진주교육대학교,수시,농어촌전형,전 학과,최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
진주교육대학교,수시,기회균형전형,전 학과,최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
진주교육대학교,수시,특수교육대상자전형,전 학과,최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
진주교육대학교,수시,지역인재전형,전 학과,최종 등록,2021-02-08T00:00:00,2021-02-10T00:00:00
