university,sj,jh,major,description,start_date,end_date
청주교육대학교,수시,배움나눔인재전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,충북인재전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,장애인학생전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,자기소개서 작성,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,충북인재전형,전 학과,자기소개서 작성,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,자기소개서 작성,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,자기소개서 작성,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,자기소개서 작성,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,장애인학생전형,전 학과,자기소개서 작성,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,자기소개서 작성,2020-09-23T09:00:00,2020-09-27T17:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-09-28T18:00:00
청주교육대학교,수시,충북인재전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-09-28T18:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-09-28T18:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-09-28T18:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-09-28T18:00:00
청주교육대학교,수시,장애인학생전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-09-28T18:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-09-28T18:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,1단계 합격자 발표,2020-11-27T15:00:00,2020-11-27T15:00:00
청주교육대학교,수시,충북인재전형,전 학과,1단계 합격자 발표,2020-11-27T15:00:00,2020-11-27T15:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,1단계 합격자 발표,2020-11-27T15:00:00,2020-11-27T15:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,1단계 합격자 발표,2020-11-27T15:00:00,2020-11-27T15:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,1단계 합격자 발표,2020-11-27T15:00:00,2020-11-27T15:00:00
청주교육대학교,수시,장애인학생전형,전 학과,1단계 합격자 발표,2020-11-27T15:00:00,2020-11-27T15:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,1단계 합격자 발표,2020-11-27T15:00:00,2020-11-27T15:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
청주교육대학교,수시,충북인재전형,전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
청주교육대학교,수시,장애인학생전형,전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,면접고사,2020-12-12T00:00:00,2020-12-12T00:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,최초합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
청주교육대학교,수시,충북인재전형,전 학과,최초합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,최초합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,최초합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,최초합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
청주교육대학교,수시,장애인학생전형,전 학과,최초합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,최초합격자 발표,2020-12-24T15:00:00,2020-12-24T15:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T17:00:00
청주교육대학교,수시,충북인재전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T17:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T17:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T17:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T17:00:00
청주교육대학교,수시,장애인학생전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T17:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,최초합격자 등록,2020-12-28T00:00:00,2020-12-30T17:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,1차 충원합격자 발표,2020-12-31T15:00:00,2020-12-31T15:00:00
청주교육대학교,수시,충북인재전형,전 학과,1차 충원합격자 발표,2020-12-31T15:00:00,2020-12-31T15:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,1차 충원합격자 발표,2020-12-31T15:00:00,2020-12-31T15:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,1차 충원합격자 발표,2020-12-31T15:00:00,2020-12-31T15:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,1차 충원합격자 발표,2020-12-31T15:00:00,2020-12-31T15:00:00
청주교육대학교,수시,장애인학생전형,전 학과,1차 충원합격자 발표,2020-12-31T15:00:00,2020-12-31T15:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,1차 충원합격자 발표,2020-12-31T15:00:00,2020-12-31T15:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,1차 충원합격자 등록,2021-01-01T17:00:00,2021-01-01T17:00:00
청주교육대학교,수시,충북인재전형,전 학과,1차 충원합격자 등록,2021-01-01T17:00:00,2021-01-01T17:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,1차 충원합격자 등록,2021-01-01T17:00:00,2021-01-01T17:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,1차 충원합격자 등록,2021-01-01T17:00:00,2021-01-01T17:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,1차 충원합격자 등록,2021-01-01T17:00:00,2021-01-01T17:00:00
청주교육대학교,수시,장애인학생전형,전 학과,1차 충원합격자 등록,2021-01-01T17:00:00,2021-01-01T17:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,1차 충원합격자 등록,2021-01-01T17:00:00,2021-01-01T17:00:00
청주교육대학교,수시,배움나눔인재전형,전 학과,2차 충원합격자 발표,2021-01-01T17:00:00,2021-01-04T21:00:00
청주교육대학교,수시,충북인재전형,전 학과,2차 충원합격자 발표,2021-01-01T17:00:00,2021-01-04T21:00:00
청주교육대학교,수시,국가보훈대상자전형,전 학과,2차 충원합격자 발표,2021-01-01T17:00:00,2021-01-04T21:00:00
청주교육대학교,수시,다문화가족자녀전형,전 학과,2차 충원합격자 발표,2021-01-01T17:00:00,2021-01-04T21:00:00
청주교육대학교,수시,농어촌학생전형,전 학과,2차 충원합격자 발표,2021-01-01T17:00:00,2021-01-04T21:00:00
청주교육대학교,수시,장애인학생전형,전 학과,2차 충원합격자 발표,2021-01-01T17:00:00,2021-01-04T21:00:00
청주교육대학교,수시,기회균형선발제전형,전 학과,2차 충원합격자 발표,2021-01-01T17:00:00,2021-01-04T21:00:00
