univ,sj,jh,major,description,start_date,end_date
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,원서접수,2020-09-23T09:00:00,2020-09-26T17:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,자기소개서 입력,2020-09-23T09:00:00,2020-09-27T17:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,1단계 합격자 발표,2020-11-06T14:00:00,2020-11-06T14:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,면접,2020-11-21T00:00:00,2020-11-21T00:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,합격자 발표,2020-12-27T14:00:00,2020-12-27T14:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,충원 합격자 발표,2020-12-30T19:00:00,2021-01-04T21:00:00
춘천교육대학교,수시,학생부종합(교직적성인재),전 학과,충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,원서접수,2020-09-23T09:00:00,2020-09-26T17:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,자기소개서 입력,2020-09-23T09:00:00,2020-09-27T17:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,서류제출,2020-09-23T09:00:00,2020-10-06T18:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,1단계 합격자 발표,2020-11-06T14:00:00,2020-11-06T14:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,면접,2020-11-20T00:00:00,2020-11-20T00:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,합격자 발표,2020-12-27T14:00:00,2020-12-27T14:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,합격자 등록,2020-12-28T09:00:00,2020-12-30T16:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,충원 합격자 발표,2020-12-30T19:00:00,2021-01-04T21:00:00
춘천교육대학교,수시,학생부종합(그 외),전 학과,충원 합격자 등록,2021-01-05T16:00:00,2021-01-05T16:00:00
