university,sj,jh,major,description,start_date,end_date
충남대학교,수시,일반전형,"사범대학(인문,자연계)",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,일반전형,그 외,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,지역인재전형,"사범대학(인문,자연계)",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,지역인재전형,그 외,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,국가보훈대상자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,기회균형선발전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,국가안보융합전형(국토안보학),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,국가안보융합전형(해양안보학),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,학생부종합전형,"인문대학,사회과학대학,경상대학",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,학생부종합전형,"자연과학대학,생활과학대학,생명시스템과학대학",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,학생부종합전형,"의과대학,간호대학,수의과대학",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,학생부종합전형,"공과대학,사범대학(인문,자연계),자유전공학부",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,학생부종합전형,"농업생명과학대학,자유전공학부(특성화고졸재직자)",원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,일반전형(무용),전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,체육특기자전형,전 학과,원서접수,2020-09-23T09:00:00,2020-09-28T18:00:00
충남대학교,수시,일반전형,"사범대학(인문,자연계)",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
충남대학교,수시,지역인재전형,"사범대학(인문,자연계)",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
충남대학교,수시,학생부종합전형,"인문대학,사회과학대학,경상대학",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
충남대학교,수시,학생부종합전형,"자연과학대학,생활과학대학,생명시스템과학대학",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
충남대학교,수시,학생부종합전형,"의과대학,간호대학,수의과대학",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
충남대학교,수시,학생부종합전형,"공과대학,사범대학(인문,자연계),자유전공학부",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
충남대학교,수시,학생부종합전형,"농업생명과학대학,자유전공학부(특성화고졸재직자)",자기소개서 입력,2020-09-23T09:00:00,2020-09-29T18:00:00
충남대학교,수시,일반전형,"사범대학(인문,자연계)",서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,일반전형,그 외,서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,지역인재전형,"사범대학(인문,자연계)",서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,지역인재전형,그 외,서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,국가보훈대상자전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,기회균형선발전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,학생부종합전형,"인문대학,사회과학대학,경상대학",서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,학생부종합전형,"자연과학대학,생활과학대학,생명시스템과학대학",서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,학생부종합전형,"의과대학,간호대학,수의과대학",서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,학생부종합전형,"공과대학,사범대학(인문,자연계),자유전공학부",서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,학생부종합전형,"농업생명과학대학,자유전공학부(특성화고졸재직자)",서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,일반전형(무용),전 학과,서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,체육특기자전형,전 학과,서류 제출,2020-09-23T09:00:00,2020-10-06T18:00:00
충남대학교,수시,일반전형(무용),전 학과,면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,체육특기자전형,전 학과,면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,학생부종합전형,"인문대학,사회과학대학,경상대학",면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,학생부종합전형,"자연과학대학,생활과학대학,생명시스템과학대학",면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,학생부종합전형,"의과대학,간호대학,수의과대학",면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,학생부종합전형,"공과대학,사범대학(인문,자연계),자유전공학부",면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,학생부종합전형,"농업생명과학대학,자유전공학부(특성화고졸재직자)",면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,일반전형,"사범대학(인문,자연계)",면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,지역인재전형,"사범대학(인문,자연계)",면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,국가보훈대상자전형,전 학과,면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,기회균형선발전형,전 학과,면접(실기)고사 대상자 발표,2020-12-04T15:00:00,2020-12-04T15:00:00
충남대학교,수시,일반전형(무용),전 학과,실기고사,2020-12-10T09:30:00,2020-12-10T09:30:00
충남대학교,수시,체육특기자전형,전 학과,실적심사,2020-12-10T12:30:00,2020-12-10T12:30:00
충남대학교,수시,학생부종합전형,"인문대학,사회과학대학,경상대학",면접고사,2020-12-15T09:00:00,2020-12-15T09:00:00
충남대학교,수시,학생부종합전형,"자연과학대학,생활과학대학,생명시스템과학대학",면접고사,2020-12-16T09:00:00,2020-12-16T09:00:00
충남대학교,수시,학생부종합전형,"의과대학,간호대학,수의과대학",면접고사,2020-12-16T09:00:00,2020-12-16T09:00:00
충남대학교,수시,학생부종합전형,"공과대학,사범대학(인문,자연계),자유전공학부",면접고사,2020-12-17T09:00:00,2020-12-17T09:00:00
충남대학교,수시,학생부종합전형,"농업생명과학대학,자유전공학부(특성화고졸재직자)",면접고사,2020-12-18T09:00:00,2020-12-18T09:00:00
충남대학교,수시,일반전형,"사범대학(인문,자연계)",면접고사,2020-12-18T09:00:00,2020-12-18T09:00:00
충남대학교,수시,지역인재전형,"사범대학(인문,자연계)",면접고사,2020-12-18T09:00:00,2020-12-18T09:00:00
충남대학교,수시,일반전형,"사범대학(인문,자연계)",최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,일반전형,그 외,최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,지역인재전형,"사범대학(인문,자연계)",최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,지역인재전형,그 외,최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,국가보훈대상자전형,전 학과,최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,기회균형선발전형,전 학과,최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,학생부종합전형,"인문대학,사회과학대학,경상대학",최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,학생부종합전형,"자연과학대학,생활과학대학,생명시스템과학대학",최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,학생부종합전형,"의과대학,간호대학,수의과대학",최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,학생부종합전형,"공과대학,사범대학(인문,자연계),자유전공학부",최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,학생부종합전형,"농업생명과학대학,자유전공학부(특성화고졸재직자)",최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,일반전형(무용),전 학과,최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,체육특기자전형,전 학과,최초 합격자발표,2020-12-26T18:00:00,2020-12-26T18:00:00
충남대학교,수시,일반전형,"사범대학(인문,자연계)",1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
충남대학교,수시,일반전형,그 외,1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
충남대학교,수시,지역인재전형,"사범대학(인문,자연계)",1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
충남대학교,수시,지역인재전형,그 외,1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
충남대학교,수시,국가보훈대상자전형,전 학과,1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
충남대학교,수시,기회균형선발전형,전 학과,1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
충남대학교,수시,학생부종합전형,"인문대학,사회과학대학,경상대학",1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
충남대학교,수시,학생부종합전형,"자연과학대학,생활과학대학,생명시스템과학대학",1차 충원합격자발표,2020-12-31T10:00:00,2020-12-31T10:00:00
