university,sj,jh,major,description,start_date,end_date
한국교원대학교,수시,학생부종합우수자전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,원서접수,2020-09-24T09:00:00,2020-09-28T18:00:00
한국교원대학교,수시,학생부종합우수자전형,전 학과,자기소개서 입력,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,자기소개서 입력,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,자기소개서 입력,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,자기소개서 입력,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,자기소개서 입력,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,자기소개서 입력,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,학생부종합우수자전형,전 학과,서류제출,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,서류제출,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,서류제출,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,서류제출,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,서류제출,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,서류제출,2020-09-24T09:00:00,2020-09-29T18:00:00
한국교원대학교,수시,학생부종합우수자전형,전 학과,1단계 전형 합격자발표,2020-12-09T10:00:00,2020-12-09T10:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,1단계 전형 합격자발표,2020-12-09T10:00:00,2020-12-09T10:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,1단계 전형 합격자발표,2020-12-09T10:00:00,2020-12-09T10:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,1단계 전형 합격자발표,2020-12-09T10:00:00,2020-12-09T10:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,1단계 전형 합격자발표,2020-12-09T10:00:00,2020-12-09T10:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,1단계 전형 합격자발표,2020-12-09T10:00:00,2020-12-09T10:00:00
한국교원대학교,수시,학생부종합우수자전형,전 학과,면접,2020-12-18T00:00:00,2020-12-18T00:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,면접,2020-12-18T00:00:00,2020-12-18T00:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,면접,2020-12-18T00:00:00,2020-12-18T00:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,면접,2020-12-18T00:00:00,2020-12-18T00:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,면접,2020-12-18T00:00:00,2020-12-18T00:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,면접,2020-12-18T00:00:00,2020-12-18T00:00:00
한국교원대학교,수시,학생부종합우수자전형,전 학과,합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,합격자 발표,2020-12-26T10:00:00,2020-12-26T10:00:00
한국교원대학교,수시,학생부종합우수자전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,합격자 등록,2020-12-28T00:00:00,2020-12-30T00:00:00
한국교원대학교,수시,학생부종합우수자전형,전 학과,1차 충원합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
한국교원대학교,수시,국가보훈대상자전형,전 학과,1차 충원합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
한국교원대학교,수시,농어촌학생I전형,전 학과,1차 충원합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
한국교원대학교,수시,농어촌학생II전형,전 학과,1차 충원합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
한국교원대학교,수시,기초수급및차상위계층전형,전 학과,1차 충원합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
한국교원대학교,수시,특수교육대상자전형,전 학과,1차 충원합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
