university,sj,jh,major,description,start_date,end_date
한국외국어대학교,수시,학생부교과전형,전 학과,원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,글로벌캠퍼스,원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,서울캠퍼스,원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,학생부종합(서류형)전형,전 학과,원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,고른기회I전형,글로벌캠퍼스,원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,고른기회I전형,서울캠퍼스,원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,고른기회II전형,전 학과,원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(사회과학대학,국제학부,LD학부)",원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,논술전형,글로벌캠퍼스(경상대학),원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(상경대학,경영대학,LT학부)",원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(영어대학,서양어대학,중국학대학)",원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(아시아언어문화대학,일본학대학,사범대학)",원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,논술전형,글로벌캠퍼스(경상대학 제외),원서 접수,2020-09-25T10:00:00,2020-09-28T18:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,글로벌캠퍼스,자기소개서 입력,2020-09-25T10:00:00,2020-09-29T17:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,서울캠퍼스,자기소개서 입력,2020-09-25T10:00:00,2020-09-29T17:00:00
한국외국어대학교,수시,학생부종합(서류형)전형,전 학과,자기소개서 입력,2020-09-25T10:00:00,2020-09-29T17:00:00
한국외국어대학교,수시,고른기회I전형,글로벌캠퍼스,자기소개서 입력,2020-09-25T10:00:00,2020-09-29T17:00:00
한국외국어대학교,수시,고른기회I전형,서울캠퍼스,자기소개서 입력,2020-09-25T10:00:00,2020-09-29T17:00:00
한국외국어대학교,수시,고른기회II전형,전 학과,자기소개서 입력,2020-09-25T10:00:00,2020-09-29T17:00:00
한국외국어대학교,수시,학생부교과전형,전 학과,서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,글로벌캠퍼스,서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,서울캠퍼스,서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,학생부종합(서류형)전형,전 학과,서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,고른기회I전형,글로벌캠퍼스,서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,고른기회I전형,서울캠퍼스,서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,고른기회II전형,전 학과,서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(사회과학대학,국제학부,LD학부)",서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,논술전형,글로벌캠퍼스(경상대학),서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(상경대학,경영대학,LT학부)",서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(영어대학,서양어대학,중국학대학)",서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(아시아언어문화대학,일본학대학,사범대학)",서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,논술전형,글로벌캠퍼스(경상대학 제외),서류 제출,2020-09-25T10:00:00,2020-09-29T16:00:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(사회과학대학,국제학부,LD학부)",논술고사,2020-12-12T10:00:00,2020-12-12T11:40:00
한국외국어대학교,수시,논술전형,글로벌캠퍼스(경상대학),논술고사,2020-12-12T10:00:00,2020-12-12T11:40:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(상경대학,경영대학,LT학부)",논술고사,2020-12-12T15:00:00,2020-12-12T16:40:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(영어대학,서양어대학,중국학대학)",논술고사,2020-12-13T10:00:00,2020-12-13T11:40:00
한국외국어대학교,수시,논술전형,"서울캠퍼스(아시아언어문화대학,일본학대학,사범대학)",논술고사,2020-12-13T15:00:00,2020-12-13T16:40:00
한국외국어대학교,수시,논술전형,글로벌캠퍼스(경상대학 제외),논술고사,2020-12-13T15:00:00,2020-12-13T16:40:00
한국외국어대학교,수시,학생부종합(면접형)전형,글로벌캠퍼스,면접고사,2020-11-21T09:00:00,2020-11-21T09:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,서울캠퍼스,면접고사,2020-11-22T09:00:00,2020-11-22T09:00:00
한국외국어대학교,수시,고른기회I전형,글로벌캠퍼스,면접고사,2020-11-21T09:00:00,2020-11-21T09:00:00
한국외국어대학교,수시,고른기회I전형,서울캠퍼스,면접고사,2020-11-22T09:00:00,2020-11-22T09:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,글로벌캠퍼스,1단계 합격자발표,2020-11-11T14:00:00,2020-11-11T14:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,서울캠퍼스,1단계 합격자발표,2020-11-11T14:00:00,2020-11-11T14:00:00
한국외국어대학교,수시,고른기회I전형,글로벌캠퍼스,1단계 합격자발표,2020-11-11T14:00:00,2020-11-11T14:00:00
한국외국어대학교,수시,고른기회I전형,서울캠퍼스,1단계 합격자발표,2020-11-11T14:00:00,2020-11-11T14:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,글로벌캠퍼스,최초 합격자발표,2020-12-15T14:00:00,2020-12-15T14:00:00
한국외국어대학교,수시,학생부종합(면접형)전형,서울캠퍼스,최초 합격자발표,2020-12-15T14:00:00,2020-12-15T14:00:00
한국외국어대학교,수시,학생부종합(서류형)전형,전 학과,최초 합격자발표,2020-12-15T14:00:00,2020-12-15T14:00:00
한국외국어대학교,수시,고른기회I전형,글로벌캠퍼스,최초 합격자발표,2020-12-15T14:00:00,2020-12-15T14:00:00
