university,sj,jh,major,description,start_date,end_date
한국체육대학교,수시,체육특기자,스포츠 과학 대학(체육학과),입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,사회체육학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,생활무용학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,레저스포츠산업학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,노인체육복지학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,실기우수자전형,생활무용학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,교과성적우수자전형,운동건강관리학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,교과성적우수자전형,사회체육학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,교과성적우수자전형,레저스포츠산업학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,교과성적우수자전형,스포츠청소년지도학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,교과성적우수자전형,노인체육복지학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,교과성적우수자전형,특수체육교육과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,태권도학과,입학원서(인터넷 접수),2020-09-23T09:00:00,2020-09-28T16:00:00
한국체육대학교,수시,체육특기자,스포츠 과학 대학(체육학과),첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,사회체육학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,생활무용학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,레저스포츠산업학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,노인체육복지학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,실기우수자전형,생활무용학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,교과성적우수자전형,운동건강관리학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,교과성적우수자전형,사회체육학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,교과성적우수자전형,레저스포츠산업학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,교과성적우수자전형,스포츠청소년지도학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,교과성적우수자전형,노인체육복지학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,교과성적우수자전형,특수체육교육과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,경기입상실적우수자전형,태권도학과,첨부서류 제출 및 도착기한,2020-09-23T09:00:00,2020-10-05T16:00:00
한국체육대학교,수시,교과성적우수자전형,사회체육학과,실기고사,2020-11-20T09:00:00,2020-11-20T09:00:00
한국체육대학교,수시,교과성적우수자전형,레저스포츠산업학과,실기고사,2020-11-20T09:00:00,2020-11-20T09:00:00
한국체육대학교,수시,교과성적우수자전형,스포츠청소년지도학과,실기고사,2020-11-20T09:00:00,2020-11-20T09:00:00
한국체육대학교,수시,교과성적우수자전형,노인체육복지학과,실기고사,2020-11-20T09:00:00,2020-11-20T09:00:00
한국체육대학교,수시,교과성적우수자전형,특수체육교육과,면접,2020-11-19T14:00:00,2020-11-19T14:00:00
한국체육대학교,수시,교과성적우수자전형,특수체육교육과,실기고사,2020-11-20T09:00:00,2020-11-20T09:00:00
한국체육대학교,수시,경기입상실적우수자전형,태권도학과,실기고사,2020-11-20T09:00:00,2020-11-20T09:00:00
한국체육대학교,수시,실기우수자전형,생활무용학과,실기고사,2020-11-20T09:00:00,2020-11-20T09:00:00
한국체육대학교,수시,체육특기자,스포츠 과학 대학(체육학과),1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,사회체육학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,생활무용학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,레저스포츠산업학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,노인체육복지학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,실기우수자전형,생활무용학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,교과성적우수자전형,운동건강관리학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,교과성적우수자전형,사회체육학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,교과성적우수자전형,레저스포츠산업학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,교과성적우수자전형,스포츠청소년지도학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,교과성적우수자전형,노인체육복지학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,교과성적우수자전형,특수체육교육과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,태권도학과,1차 합격자 발표,2020-11-06T00:00:00,2020-11-06T00:00:00
한국체육대학교,수시,체육특기자,스포츠 과학 대학(체육학과),2차 합격자 발표,2020-12-23T00:00:00,2020-12-23T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,사회체육학과,2차 합격자 발표,2020-12-23T00:00:00,2020-12-23T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,생활무용학과,2차 합격자 발표,2020-12-23T00:00:00,2020-12-23T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,레저스포츠산업학과,2차 합격자 발표,2020-12-23T00:00:00,2020-12-23T00:00:00
한국체육대학교,수시,경기입상실적우수자전형,노인체육복지학과,2차 합격자 발표,2020-12-23T00:00:00,2020-12-23T00:00:00
한국체육대학교,수시,실기우수자전형,생활무용학과,2차 합격자 발표,2020-12-23T00:00:00,2020-12-23T00:00:00
