university,sj,jh,major,description,start_date,end_date
한양대학교,수시,학생부교과전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,일반전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,고른기회전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,특성화고졸재직자전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,논술전형,자연계열,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,논술전형,인문/상경계열,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,소프트웨어인재전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,글로벌인재전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,미술특기자전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,음악특기자전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,체육특기자전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,연기특기자전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,무용특기자전형,전 학과,지원서 접수,2020-09-24T10:00:00,2020-09-28T10:00:00
한양대학교,수시,학생부교과전형,전 학과,제출 서류 접수,2020-09-24T10:00:00,2020-09-2910:00:00
한양대학교,수시,일반전형,전 학과,제출 서류 접수,2020-09-24T10:00:00,2020-09-2910:00:00
한양대학교,수시,고른기회전형,전 학과,제출 서류 접수,2020-09-24T10:00:00,2020-09-2910:00:00
한양대학교,수시,특성화고졸재직자전형,전 학과,제출 서류 접수,2020-09-24T10:00:00,2020-09-2910:00:00
한양대학교,수시,논술전형,자연계열,제출 서류 접수,2020-09-24T10:00:00,2020-09-2910:00:00
