university,sj,jh,major,description,start_date,end_date
해군사관학교,수시,일반전형,일반우선전형,원서접수,2020-07-10T10:00:00,2020-07-20T24:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,원서접수,2020-07-10T10:00:00,2020-07-20T24:00:00
해군사관학교,수시,특별전형,전 학과,원서접수,2020-07-10T10:00:00,2020-07-20T24:00:00
해군사관학교,수시,일반전형,일반우선전형,지원동기서 입력,2020-07-10T10:00:00,2020-07-20T24:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,지원동기서 입력,2020-07-10T10:00:00,2020-07-20T24:00:00
해군사관학교,수시,특별전형,전 학과,지원동기서 입력,2020-07-10T10:00:00,2020-07-20T24:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,비교과 평가서류 제출,2020-07-10T00:00:00,2020-08-07T00:00:00
해군사관학교,수시,일반전형,일반우선전형,1차시험,2020-08-15T00:00:00,2020-08-15T00:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,1차시험,2020-08-15T00:00:00,2020-08-15T00:00:00
해군사관학교,수시,특별전형,전 학과,1차시험,2020-08-15T00:00:00,2020-08-15T00:00:00
해군사관학교,수시,일반전형,일반우선전형,개인 성적확인,2020-08-21T09:00:00,2020-08-25T12:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,개인 성적확인,2020-08-21T09:00:00,2020-08-25T12:00:00
해군사관학교,수시,특별전형,전 학과,개인 성적확인,2020-08-21T09:00:00,2020-08-25T12:00:00
해군사관학교,수시,일반전형,일반우선전형,1차시험 합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,1차시험 합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
해군사관학교,수시,특별전형,전 학과,1차시험 합격자 발표,2020-09-01T09:00:00,2020-09-01T09:00:00
해군사관학교,수시,일반전형,일반우선전형,2차시험 등록,2020-09-01T00:00:00,2020-09-04T00:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,2차시험 등록,2020-09-01T00:00:00,2020-09-04T00:00:00
해군사관학교,수시,특별전형,전 학과,2차시험 등록,2020-09-01T00:00:00,2020-09-04T00:00:00
해군사관학교,수시,일반전형,일반우선전형,2차시험,2020-09-01T00:00:00,2020-11-19T00:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,2차시험,2020-09-01T00:00:00,2020-11-19T00:00:00
해군사관학교,수시,특별전형,전 학과,2차시험,2020-09-01T00:00:00,2020-11-19T00:00:00
해군사관학교,수시,일반전형,일반우선전형,2차시험 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,2차시험 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
해군사관학교,수시,특별전형,전 학과,2차시험 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
해군사관학교,수시,일반전형,일반우선전형,우선선발 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,우선선발 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
해군사관학교,수시,특별전형,전 학과,우선선발 합격자 발표,2020-11-20T10:00:00,2020-11-20T10:00:00
해군사관학교,수시,일반전형,일반우선전형,우선선발 합격자 등록,2020-11-20T00:00:00,2020-11-27T00:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,우선선발 합격자 등록,2020-11-20T00:00:00,2020-11-27T00:00:00
해군사관학교,수시,특별전형,전 학과,우선선발 합격자 등록,2020-11-20T00:00:00,2020-11-27T00:00:00
해군사관학교,수시,일반전형,일반우선전형,종합선발 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,종합선발 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
해군사관학교,수시,특별전형,전 학과,종합선발 합격자 발표,2020-12-31T10:00:00,2020-12-31T10:00:00
해군사관학교,수시,일반전형,일반우선전형,종합선발 합격자 등록,2020-12-31T00:00:00,2021-01-06T00:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,종합선발 합격자 등록,2020-12-31T00:00:00,2021-01-06T00:00:00
해군사관학교,수시,특별전형,전 학과,종합선발 합격자 등록,2020-12-31T00:00:00,2021-01-06T00:00:00
해군사관학교,수시,일반전형,일반우선전형,추가합격자 선발,2021-01-07T00:00:00,2021-01-07T00:00:00
해군사관학교,수시,일반전형,고교학교장추천전형,추가합격자 선발,2021-01-07T00:00:00,2021-01-07T00:00:00
해군사관학교,수시,특별전형,전 학과,추가합격자 선발,2021-01-07T00:00:00,2021-01-07T00:00:00
